FPR,TPR,Threshold
0.000000000000000000e+00,0.000000000000000000e+00,inf
1.817524204878598572e-06,0.000000000000000000e+00,2.551709831574912096e+04
6.288633748879951177e-04,0.000000000000000000e+00,2.534163829755281404e+04
6.324984232977523199e-04,0.000000000000000000e+00,2.534122647670672086e+04
6.361334717075094137e-04,0.000000000000000000e+00,2.534038630332747198e+04
6.397685201172666159e-04,0.000000000000000000e+00,2.533968610554742190e+04
6.470386169367810204e-04,0.000000000000000000e+00,2.533729700830182628e+04
6.506736653465382226e-04,0.000000000000000000e+00,2.533705413044439774e+04
7.088344399026533498e-04,0.000000000000000000e+00,2.532544929930552098e+04
7.124694883124105520e-04,0.000000000000000000e+00,2.532514589283595342e+04
7.179220609270463554e-04,0.000000000000000000e+00,2.532199247996203121e+04
7.215571093368035576e-04,0.000000000000000000e+00,2.532196651023006780e+04
7.924405533270688926e-04,0.000000000000000000e+00,2.531162084234396389e+04
7.960756017368260948e-04,0.000000000000000000e+00,2.531160201908314411e+04
8.124333195807335048e-04,0.000000000000000000e+00,2.530816881248261052e+04
8.160683679904907071e-04,0.000000000000000000e+00,2.530808427227476568e+04
8.269735132197623137e-04,0.000000000000000000e+00,2.530495330419424863e+04
8.306085616295195160e-04,0.000000000000000000e+00,2.530457326838573863e+04
8.506013278831841282e-04,0.000000000000000000e+00,2.530109316519366621e+04
8.542363762929413304e-04,0.000000000000000000e+00,2.530107581273065807e+04
8.669590457270914298e-04,0.000000000000000000e+00,2.529648973742355520e+04
8.705940941368486320e-04,0.000000000000000000e+00,2.529642039070364626e+04
9.033095298246634521e-04,0.000000000000000000e+00,2.528301688478507640e+04
9.069445782344206543e-04,0.000000000000000000e+00,2.528296603345854965e+04
9.123971508490564576e-04,0.000000000000000000e+00,2.527959058041904063e+04
9.160321992588136598e-04,0.000000000000000000e+00,2.527947684472146284e+04
9.432950623319925681e-04,0.000000000000000000e+00,2.526918186130125832e+04
9.469301107417497703e-04,0.000000000000000000e+00,2.526913864168121654e+04
9.560177317661427759e-04,0.000000000000000000e+00,2.526683152188398890e+04
9.596527801758999781e-04,0.000000000000000000e+00,2.526565777058901585e+04
9.651053527905357815e-04,0.000000000000000000e+00,2.526448845576855820e+04
9.687404012002929837e-04,0.000000000000000000e+00,2.526427799561759821e+04
9.796455464295644820e-04,0.000000000000000000e+00,2.526259107909557861e+04
9.832805948393216842e-04,0.000000000000000000e+00,2.526217538918419814e+04
9.905506916588360886e-04,0.000000000000000000e+00,2.525911382593891540e+04
9.941857400685932909e-04,0.000000000000000000e+00,2.525869454851267437e+04
1.005090885297864898e-03,0.000000000000000000e+00,2.525427687006799169e+04
1.008725933707622100e-03,0.000000000000000000e+00,2.525404641757299032e+04
1.012360982117379302e-03,0.000000000000000000e+00,2.525164719149102893e+04
1.012360982117379302e-03,3.509140081713836081e-07,2.525156112314985148e+04
1.043258893600315521e-03,3.509140081713836081e-07,2.524109458614767937e+04
1.046893942010072723e-03,3.509140081713836081e-07,2.524057269741425262e+04
1.048711466214951324e-03,3.509140081713836081e-07,2.524001338685053634e+04
1.052346514624708526e-03,3.509140081713836081e-07,2.523991594163965419e+04
1.083244426107644745e-03,3.509140081713836081e-07,2.522690391629614169e+04
1.086879474517401948e-03,3.509140081713836081e-07,2.522672965631329498e+04
1.095967095541794953e-03,3.509140081713836081e-07,2.522346828558454945e+04
1.099602143951552155e-03,3.509140081713836081e-07,2.522325063258049340e+04
1.106872240771066560e-03,3.509140081713836081e-07,2.522003275196043978e+04
1.110507289180823762e-03,3.509140081713836081e-07,2.521977057541724571e+04
1.117777386000338167e-03,3.509140081713836081e-07,2.521617523447086205e+04
1.121412434410095152e-03,3.509140081713836081e-07,2.521512572039483348e+04
1.152310345893031371e-03,3.509140081713836081e-07,2.520332574349571223e+04
1.155945394302788573e-03,3.509140081713836081e-07,2.520162462359899655e+04
1.157762918507667174e-03,3.509140081713836081e-07,2.520126073805908527e+04
1.161397966917424376e-03,3.509140081713836081e-07,2.520097929716665749e+04
1.194113402605239196e-03,3.509140081713836081e-07,2.518838835837204897e+04
1.197748451014996399e-03,3.509140081713836081e-07,2.518775736148751821e+04
1.208653596244268005e-03,3.509140081713836081e-07,2.518437900485887440e+04
1.212288644654025208e-03,3.509140081713836081e-07,2.518427808455297782e+04
1.223193789883296814e-03,3.509140081713836081e-07,2.518120527199612479e+04
1.226828838293054016e-03,3.509140081713836081e-07,2.518080216504773489e+04
1.232281410907689820e-03,3.509140081713836081e-07,2.517625116407802489e+04
1.235916459317447022e-03,3.509140081713836081e-07,2.517615316226682626e+04
1.246821604546718629e-03,3.509140081713836081e-07,2.517289927004072160e+04
1.250456652956475831e-03,3.509140081713836081e-07,2.517267606834329854e+04
1.279537040234533232e-03,3.509140081713836081e-07,2.515916704294012015e+04
1.286807137054047636e-03,3.509140081713836081e-07,2.515849852676550654e+04
1.308617427512590850e-03,3.509140081713836081e-07,2.514575324504570744e+04
1.312252475922348052e-03,3.509140081713836081e-07,2.514525867838085833e+04
1.319522572741862456e-03,3.509140081713836081e-07,2.514194056682170049e+04
1.323157621151619659e-03,3.509140081713836081e-07,2.514178243119892431e+04
1.326792669561376861e-03,3.509140081713836081e-07,2.513869499441392691e+04
1.330427717971134063e-03,3.509140081713836081e-07,2.513830497819305674e+04
1.332245242176012664e-03,3.509140081713836081e-07,2.513749274122735005e+04
1.332245242176012664e-03,7.018280163427672162e-07,2.513657022634727400e+04
1.335880290585769866e-03,7.018280163427672162e-07,2.513613609256962809e+04
1.335880290585769866e-03,1.403656032685534432e-06,2.513571331554919016e+04
1.341332863200405670e-03,1.403656032685534432e-06,2.513472565843332268e+04
1.344967911610162872e-03,1.403656032685534432e-06,2.513365183074776724e+04
1.350420484224798675e-03,1.403656032685534432e-06,2.513057746679647971e+04
1.350420484224798675e-03,1.754570040856917882e-06,2.513015607881230244e+04
1.357690581044313080e-03,1.754570040856917882e-06,2.512710484294176058e+04
1.357690581044313080e-03,2.105484049028301543e-06,2.512699866305061732e+04
1.359508105249191681e-03,2.105484049028301543e-06,2.512666058368474478e+04
1.359508105249191681e-03,2.456398057199684992e-06,2.512664558799898077e+04
1.363143153658948883e-03,2.456398057199684992e-06,2.512417878859294433e+04
1.363143153658948883e-03,2.807312065371068865e-06,2.512394466469571489e+04
1.366778202068706085e-03,2.807312065371068865e-06,2.512332380549809386e+04
1.366778202068706085e-03,3.509140081713835763e-06,2.512264392876693455e+04
1.368595726273584686e-03,3.509140081713835763e-06,2.512239115505792870e+04
1.372230774683341889e-03,3.509140081713835763e-06,2.512010093791394684e+04
1.374048298888220490e-03,3.509140081713835763e-06,2.511987909830253557e+04
1.374048298888220490e-03,3.860054089885219212e-06,2.511969086755733224e+04
1.377683347297977692e-03,3.860054089885219212e-06,2.511948614510691914e+04
1.381318395707734894e-03,3.860054089885219212e-06,2.511945909882483102e+04
1.394041065141885102e-03,3.860054089885219212e-06,2.511290775650767682e+04
1.394041065141885102e-03,4.210968098056603085e-06,2.511289079677358677e+04
1.395858589346763703e-03,4.210968098056603085e-06,2.511063531895023334e+04
1.395858589346763703e-03,4.561882106227986958e-06,2.510981396644206689e+04
1.401311161961399506e-03,4.561882106227986958e-06,2.510665989584011550e+04
1.401311161961399506e-03,4.912796114399369984e-06,2.510628617923333877e+04
1.404946210371156709e-03,4.912796114399369984e-06,2.510618907334767937e+04
1.410398782985792512e-03,4.912796114399369984e-06,2.510371581380196949e+04
1.414033831395549714e-03,4.912796114399369984e-06,2.510271655234692298e+04
1.414033831395549714e-03,5.614624130742137729e-06,2.510220371810381039e+04
1.415851355600428315e-03,5.614624130742137729e-06,2.510201566498228567e+04
1.415851355600428315e-03,5.965538138913520755e-06,2.510110056634759530e+04
1.417668879805306700e-03,5.965538138913520755e-06,2.509962605397146035e+04
1.421303928215063902e-03,5.965538138913520755e-06,2.509924262008108417e+04
1.421303928215063902e-03,6.316452147084904628e-06,2.509911128280810590e+04
1.432209073444335509e-03,6.316452147084904628e-06,2.509584205808908882e+04
1.432209073444335509e-03,7.018280163427671526e-06,2.509499853263259502e+04
1.434026597649214110e-03,7.018280163427671526e-06,2.509493273405521177e+04
1.437661646058971312e-03,7.018280163427671526e-06,2.509459134444312076e+04
1.437661646058971312e-03,7.369194171599055399e-06,2.509436537140651490e+04
1.439479170263849913e-03,7.369194171599055399e-06,2.509410109381827351e+04
1.439479170263849913e-03,7.720108179770438425e-06,2.509366146415616822e+04
1.444931742878485716e-03,7.720108179770438425e-06,2.509268229919514124e+04
1.444931742878485716e-03,8.071022187941823145e-06,2.509117552041082308e+04
1.448566791288242919e-03,8.071022187941823145e-06,2.509112111851282680e+04
1.457654412312635924e-03,8.071022187941823145e-06,2.508517912091495964e+04
1.457654412312635924e-03,8.421936196113206170e-06,2.508502712530132703e+04
1.463106984927271727e-03,8.421936196113206170e-06,2.508138653659833653e+04
1.466742033337028930e-03,8.421936196113206170e-06,2.508038743121003426e+04
1.470377081746786132e-03,8.421936196113206170e-06,2.508007177034565757e+04
1.470377081746786132e-03,8.772850204284589196e-06,2.508000092841655714e+04
1.474012130156543334e-03,8.772850204284589196e-06,2.507837004349290510e+04
1.474012130156543334e-03,9.123764212455973916e-06,2.507739992631473797e+04
1.477647178566300536e-03,9.123764212455973916e-06,2.507691731111687841e+04
1.477647178566300536e-03,9.474678220627356942e-06,2.507644989381127380e+04
1.503092517434600952e-03,9.474678220627356942e-06,2.506458597396407276e+04
1.503092517434600952e-03,1.017650623697012469e-05,2.506436011347517342e+04
1.506727565844358154e-03,1.017650623697012469e-05,2.506361006059677311e+04
1.506727565844358154e-03,1.052742024514150771e-05,2.506308623329698094e+04
1.508545090049236755e-03,1.052742024514150771e-05,2.506241557944761007e+04
1.508545090049236755e-03,1.087833425331289074e-05,2.506105693136454283e+04
1.512180138458993958e-03,1.087833425331289074e-05,2.506052133072359720e+04
1.512180138458993958e-03,1.122924826148427546e-05,2.506036865259162732e+04
1.515815186868751160e-03,1.122924826148427546e-05,2.506014221415841166e+04
1.515815186868751160e-03,1.158016226965565848e-05,2.505955795044035403e+04
1.523085283688265564e-03,1.158016226965565848e-05,2.505558845130715054e+04
1.526720332098022766e-03,1.158016226965565848e-05,2.505549725799058797e+04
1.526720332098022766e-03,1.193107627782704151e-05,2.505485549379711665e+04
1.528537856302901368e-03,1.193107627782704151e-05,2.505437929765185254e+04
1.528537856302901368e-03,1.228199028599842623e-05,2.505417276209669581e+04
1.530355380507779969e-03,1.228199028599842623e-05,2.505359009724361022e+04
1.530355380507779969e-03,1.263290429416980926e-05,2.505356145034164365e+04
1.535807953122415772e-03,1.263290429416980926e-05,2.505212556599590607e+04
1.539443001532172974e-03,1.263290429416980926e-05,2.505202976743178078e+04
1.541260525737051575e-03,1.263290429416980926e-05,2.504894756881529247e+04
1.541260525737051575e-03,1.298381830234119228e-05,2.504877318091281268e+04
1.546713098351687379e-03,1.298381830234119228e-05,2.504637886893448740e+04
1.546713098351687379e-03,1.333473231051257700e-05,2.504631279864501630e+04
1.550348146761444581e-03,1.333473231051257700e-05,2.504494675415087113e+04
1.550348146761444581e-03,1.368564631868396003e-05,2.504246164251920345e+04
1.553983195171201783e-03,1.368564631868396003e-05,2.504123861151721212e+04
1.553983195171201783e-03,1.403656032685534305e-05,2.504050810043196543e+04
1.555800719376080384e-03,1.403656032685534305e-05,2.503872455749991423e+04
1.559435767785837586e-03,1.403656032685534305e-05,2.503843428924295586e+04
1.563070816195594789e-03,1.403656032685534305e-05,2.503808844015624709e+04
1.566705864605351774e-03,1.403656032685534305e-05,2.503780938010381215e+04
1.566705864605351774e-03,1.438747433502672777e-05,2.503698282254678634e+04
1.570340913015108976e-03,1.438747433502672777e-05,2.503581827658707698e+04
1.570340913015108976e-03,1.473838834319811080e-05,2.503572529053058315e+04
1.573975961424866178e-03,1.473838834319811080e-05,2.503362207369674070e+04
1.573975961424866178e-03,1.508930235136949382e-05,2.503360776936689581e+04
1.597603776088287993e-03,1.508930235136949382e-05,2.502511275161397862e+04
1.601238824498045195e-03,1.508930235136949382e-05,2.502448560995652224e+04
1.603056348702923796e-03,1.508930235136949382e-05,2.502428801567161281e+04
