FPR,TPR,Threshold
0.000000000000000000e+00,0.000000000000000000e+00,inf
0.000000000000000000e+00,3.509140081713836081e-07,3.064948223966667138e+04
0.000000000000000000e+00,1.887917363962043796e-04,2.738473374979212531e+04
0.000000000000000000e+00,1.894935644125471321e-04,2.738340797955450762e+04
0.000000000000000000e+00,1.901953924288899117e-04,2.737642906433963071e+04
0.000000000000000000e+00,1.908972204452326642e-04,2.737080039951139406e+04
0.000000000000000000e+00,1.923008764779181963e-04,2.735327044835998458e+04
0.000000000000000000e+00,1.930027044942609759e-04,2.735302364496911468e+04
0.000000000000000000e+00,1.958100165596320401e-04,2.734630860348504575e+04
0.000000000000000000e+00,1.965118445759748197e-04,2.734537798834948990e+04
0.000000000000000000e+00,1.982664146168317280e-04,2.733862436050567339e+04
0.000000000000000000e+00,1.989682426331745076e-04,2.733841233301559259e+04
0.000000000000000000e+00,2.000209846576886364e-04,2.733169985690560134e+04
0.000000000000000000e+00,2.007228126740314160e-04,2.733077230247693296e+04
0.000000000000000000e+00,2.052846947802594157e-04,2.731667990874917086e+04
0.000000000000000000e+00,2.059865227966021682e-04,2.731575051539902051e+04
0.000000000000000000e+00,2.066883508129449478e-04,2.731429325188514485e+04
0.000000000000000000e+00,2.073901788292877003e-04,2.731112564464034585e+04
0.000000000000000000e+00,2.112502329191729203e-04,2.729770923365409908e+04
0.000000000000000000e+00,2.119520609355156999e-04,2.729649051535098988e+04
0.000000000000000000e+00,2.140575449845439845e-04,2.728586813447302120e+04
0.000000000000000000e+00,2.147593730008867641e-04,2.728559136806266179e+04
0.000000000000000000e+00,2.200230831234575163e-04,2.726763717794860713e+04
0.000000000000000000e+00,2.214267391561430484e-04,2.726273433176809340e+04
0.000000000000000000e+00,2.270413632868851768e-04,2.724446699416021511e+04
0.000000000000000000e+00,2.277431913032279564e-04,2.724281617703088341e+04
0.000000000000000000e+00,2.631855061285377165e-04,2.712965315485707106e+04
0.000000000000000000e+00,2.638873341448804690e-04,2.712960166223703709e+04
0.000000000000000000e+00,2.659928181939087808e-04,2.712304357027792139e+04
0.000000000000000000e+00,2.666946462102515332e-04,2.712216109873726964e+04
0.000000000000000000e+00,2.680983022429370925e-04,2.711443245762437436e+04
0.000000000000000000e+00,2.688001302592798450e-04,2.711415393153468176e+04
0.000000000000000000e+00,2.716074423246509092e-04,2.710654095228504957e+04
0.000000000000000000e+00,2.723092703409936617e-04,2.710535837510668716e+04
0.000000000000000000e+00,2.772220664553930376e-04,2.708922773052080811e+04
0.000000000000000000e+00,2.779238944717357901e-04,2.708699687714609172e+04
0.000000000000000000e+00,2.793275505044213493e-04,2.708092797233485908e+04
0.000000000000000000e+00,2.807312065371068543e-04,2.707957290982725681e+04
0.000000000000000000e+00,2.828366905861351660e-04,2.707365333398205985e+04
0.000000000000000000e+00,2.835385186024779185e-04,2.707278983164941747e+04
0.000000000000000000e+00,2.856440026515062302e-04,2.706537570732943277e+04
0.000000000000000000e+00,2.863458306678490369e-04,2.706487483236135813e+04
0.000000000000000000e+00,2.884513147168772944e-04,2.705622475108738581e+04
0.000000000000000000e+00,2.891531427332201011e-04,2.705581512534590001e+04
0.000000000000000000e+00,2.919604547985911653e-04,2.704710090504442633e+04
0.000000000000000000e+00,2.926622828149339178e-04,2.704546994683261073e+04
0.000000000000000000e+00,2.954695948803049820e-04,2.703953388237699619e+04
0.000000000000000000e+00,2.961714228966477345e-04,2.703778350415495515e+04
0.000000000000000000e+00,3.007333050028757342e-04,2.702249427528151136e+04
0.000000000000000000e+00,3.014351330192184867e-04,2.702064505540874961e+04
0.000000000000000000e+00,3.017860470273899171e-04,2.702008739628669355e+04
0.000000000000000000e+00,3.024878750437326696e-04,2.701728400772940222e+04
0.000000000000000000e+00,3.038915310764181746e-04,2.701472726086170223e+04
0.000000000000000000e+00,3.045933590927609813e-04,2.701288792016818115e+04
0.000000000000000000e+00,3.066988431417892388e-04,2.700805870397390390e+04
0.000000000000000000e+00,3.074006711581320456e-04,2.700661823987190655e+04
0.000000000000000000e+00,3.084534131826461743e-04,2.700420478082464615e+04
0.000000000000000000e+00,3.091552411989889268e-04,2.700112003164788985e+04
0.000000000000000000e+00,3.105588972316744860e-04,2.699680274219434432e+04
0.000000000000000000e+00,3.112607252480172385e-04,2.699352968149654407e+04
0.000000000000000000e+00,3.144189513215596790e-04,2.698861917571587401e+04
0.000000000000000000e+00,3.158226073542452382e-04,2.698419114839646500e+04
0.000000000000000000e+00,3.168753493787593669e-04,2.698096241276776345e+04
0.000000000000000000e+00,3.175771773951021736e-04,2.698002987270203812e+04
0.000000000000000000e+00,3.179280914032735499e-04,2.697977008170995032e+04
0.000000000000000000e+00,3.193317474359590549e-04,2.697614022621446202e+04
0.000000000000000000e+00,3.207354034686446141e-04,2.697340154502101359e+04
0.000000000000000000e+00,3.214372314849873666e-04,2.697233640363891027e+04
0.000000000000000000e+00,3.231918015258443020e-04,2.696210201050292744e+04
0.000000000000000000e+00,3.238936295421870545e-04,2.696157423805676081e+04
0.000000000000000000e+00,3.245954575585298070e-04,2.695865812085935613e+04
0.000000000000000000e+00,3.252972855748726137e-04,2.695830350305396496e+04
0.000000000000000000e+00,3.263500275993867425e-04,2.695514854691404980e+04
0.000000000000000000e+00,3.270518556157294950e-04,2.695362442138414190e+04
0.000000000000000000e+00,3.274027696239008712e-04,2.695318028525288173e+04
0.000000000000000000e+00,3.281045976402436780e-04,2.695128793564299485e+04
0.000000000000000000e+00,3.291573396647578067e-04,2.694898467183685716e+04
0.000000000000000000e+00,3.298591676811005592e-04,2.694623446705557217e+04
0.000000000000000000e+00,3.323155657383002472e-04,2.693985135493446069e+04
0.000000000000000000e+00,3.337192217709858064e-04,2.693878896149828142e+04
0.000000000000000000e+00,3.347719637954999351e-04,2.693674643119969915e+04
0.000000000000000000e+00,3.354737918118427418e-04,2.693665169390421579e+04
0.000000000000000000e+00,3.361756198281854943e-04,2.693325637535661735e+04
0.000000000000000000e+00,3.375792758608709993e-04,2.693250370758598365e+04
0.000000000000000000e+00,3.396847599098993110e-04,2.692745521422104866e+04
0.000000000000000000e+00,3.403865879262420635e-04,2.692739026508342431e+04
0.000000000000000000e+00,3.407375019344134940e-04,2.692666212199443908e+04
0.000000000000000000e+00,3.414393299507562465e-04,2.692432601142518251e+04
0.000000000000000000e+00,3.417902439589276227e-04,2.692302218222590454e+04
0.000000000000000000e+00,3.424920719752703752e-04,2.692234000613101307e+04
0.000000000000000000e+00,3.445975560242986869e-04,2.691896554823817860e+04
0.000000000000000000e+00,3.452993840406414394e-04,2.691865555305601447e+04
0.000000000000000000e+00,3.491594381305266866e-04,2.691153391826376173e+04
0.000000000000000000e+00,3.498612661468694391e-04,2.690958651542385269e+04
0.000000000000000000e+00,3.516158361877263746e-04,2.690547628761437591e+04
0.000000000000000000e+00,3.523176642040691271e-04,2.690423683921802149e+04
0.000000000000000000e+00,3.547740622612688150e-04,2.689594594027365747e+04
0.000000000000000000e+00,3.554758902776115675e-04,2.689563568839321306e+04
0.000000000000000000e+00,3.572304603184685030e-04,2.689167364897717925e+04
0.000000000000000000e+00,3.579322883348112555e-04,2.688990796427739770e+04
0.000000000000000000e+00,3.582832023429826317e-04,2.688877961761806364e+04
0.000000000000000000e+00,3.589850303593254384e-04,2.688822145986324904e+04
0.000000000000000000e+00,3.628450844492106314e-04,2.687970252982430611e+04
0.000000000000000000e+00,3.635469124655533839e-04,2.687957441298757112e+04
0.000000000000000000e+00,3.638978264737248143e-04,2.687918090303608187e+04
0.000000000000000000e+00,3.645996544900675668e-04,2.687818487550690770e+04
0.000000000000000000e+00,3.684597085799527598e-04,2.687101127859718326e+04
0.000000000000000000e+00,3.691615365962955665e-04,2.687040014551871718e+04
0.000000000000000000e+00,3.698633646126383190e-04,2.686936183896314469e+04
0.000000000000000000e+00,3.705651926289810715e-04,2.686773316939815777e+04
0.000000000000000000e+00,3.716179346534952002e-04,2.686505173766229927e+04
0.000000000000000000e+00,3.730215906861807595e-04,2.686480441311035975e+04
0.000000000000000000e+00,3.772325587842373829e-04,2.685310421554975255e+04
0.000000000000000000e+00,3.779343868005801354e-04,2.685292612325324444e+04
0.000000000000000000e+00,3.828471829149795113e-04,2.683952444713977457e+04
0.000000000000000000e+00,3.835490109313222638e-04,2.683863913719946140e+04
0.000000000000000000e+00,3.853035809721791992e-04,2.683658345751139859e+04
0.000000000000000000e+00,3.860054089885219517e-04,2.683612653341153054e+04
0.000000000000000000e+00,3.874090650212075109e-04,2.683371528527576083e+04
0.000000000000000000e+00,3.881108930375502634e-04,2.683246862275903186e+04
0.000000000000000000e+00,3.898654630784071989e-04,2.682597353691429453e+04
0.000000000000000000e+00,3.905672910947499514e-04,2.682592062605066167e+04
0.000000000000000000e+00,3.909182051029213277e-04,2.682582304971128906e+04
0.000000000000000000e+00,3.916200331192640802e-04,2.682523931016775532e+04
0.000000000000000000e+00,3.930236891519496394e-04,2.682331133952240270e+04
0.000000000000000000e+00,3.937255171682923919e-04,2.682228429548283748e+04
0.000000000000000000e+00,4.228513798465172169e-04,2.676722004641204330e+04
0.000000000000000000e+00,4.235532078628600236e-04,2.676561802283565339e+04
0.000000000000000000e+00,4.256586919118882811e-04,2.676104195417188021e+04
0.000000000000000000e+00,4.263605199282310878e-04,2.676069565311561018e+04
0.000000000000000000e+00,4.274132619527452165e-04,2.675764949730926310e+04
0.000000000000000000e+00,4.281150899690879690e-04,2.675724335500413508e+04
0.000000000000000000e+00,4.302205740181162807e-04,2.675254327826860754e+04
0.000000000000000000e+00,4.309224020344590332e-04,2.675221385465746062e+04
0.000000000000000000e+00,4.337297140998300975e-04,2.674768730795672309e+04
0.000000000000000000e+00,4.344315421161729042e-04,2.674764800781283338e+04
0.000000000000000000e+00,4.351333701325156567e-04,2.674410363923351542e+04
0.000000000000000000e+00,4.358351981488584092e-04,2.674365093646498644e+04
0.000000000000000000e+00,4.361861121570297854e-04,2.674191882861582781e+04
0.000000000000000000e+00,4.368879401733725921e-04,2.674175841343554202e+04
0.000000000000000000e+00,4.403970802550864088e-04,2.673767406379313616e+04
0.000000000000000000e+00,4.418007362877719680e-04,2.673618406902809511e+04
0.000000000000000000e+00,4.425025643041147205e-04,2.673533966218437854e+04
0.000000000000000000e+00,4.432043923204574730e-04,2.673484373179500835e+04
0.000000000000000000e+00,4.439062203368002255e-04,2.673450854217095184e+04
0.000000000000000000e+00,4.453098763694857847e-04,2.673111633657198399e+04
0.000000000000000000e+00,4.460117043858285372e-04,2.673024425058062843e+04
0.000000000000000000e+00,4.467135324021712897e-04,2.672984863453485377e+04
0.000000000000000000e+00,4.491699304593709777e-04,2.672664240557900848e+04
0.000000000000000000e+00,4.498717584757137844e-04,2.672588321599601841e+04
0.000000000000000000e+00,4.575918666554842245e-04,2.671023816482061011e+04
0.000000000000000000e+00,4.582936946718269770e-04,2.671005824787636811e+04
0.000000000000000000e+00,4.600482647126839125e-04,2.670674955310609948e+04
0.000000000000000000e+00,4.607500927290266650e-04,2.670670320466104386e+04
0.000000000000000000e+00,4.625046627698836004e-04,2.670407521970956805e+04
0.000000000000000000e+00,4.632064907862263529e-04,2.670387893545842235e+04
0.000000000000000000e+00,4.639083188025691054e-04,2.670046491608215729e+04
0.000000000000000000e+00,4.646101468189118579e-04,2.670016859780857340e+04
0.000000000000000000e+00,4.670665448761115459e-04,2.669723154528893792e+04
0.000000000000000000e+00,4.677683728924543526e-04,2.669689730598958704e+04
0.000000000000000000e+00,4.681192869006257288e-04,2.669670263948163483e+04
0.000000000000000000e+00,4.695229429333112338e-04,2.669617059627509298e+04
0.000000000000000000e+00,4.709265989659967930e-04,2.669472423956686180e+04
0.000000000000000000e+00,4.716284269823395455e-04,2.669430958000907776e+04
0.000000000000000000e+00,4.730320830150251048e-04,2.669299306527659792e+04
0.000000000000000000e+00,4.744357390477106098e-04,2.669021563179301666e+04
0.000000000000000000e+00,4.754884810722247927e-04,2.668929820642536652e+04
0.000000000000000000e+00,4.761903090885675452e-04,2.668867388581781051e+04
0.000000000000000000e+00,4.775939651212530502e-04,2.668660908987497533e+04
