FPR,TPR,Threshold
0.000000000000000000e+00,0.000000000000000000e+00,inf
1.817524204878598572e-06,0.000000000000000000e+00,6.935028076171875000e+00
1.890225173073742447e-04,0.000000000000000000e+00,6.914471149444580078e+00
1.926575657171314469e-04,0.000000000000000000e+00,6.914427280426025391e+00
6.434035685270238182e-04,0.000000000000000000e+00,6.883321762084960938e+00
6.470386169367810204e-04,0.000000000000000000e+00,6.883158206939697266e+00
6.561262379611740260e-04,0.000000000000000000e+00,6.882778644561767578e+00
6.597612863709312282e-04,0.000000000000000000e+00,6.882589340209960938e+00
6.942942462636246493e-04,0.000000000000000000e+00,6.881019592285156250e+00
6.979292946733818516e-04,0.000000000000000000e+00,6.880990982055664062e+00
7.179220609270463554e-04,0.000000000000000000e+00,6.880205154418945312e+00
7.215571093368035576e-04,0.000000000000000000e+00,6.879991054534912109e+00
7.288272061563179621e-04,0.000000000000000000e+00,6.879762172698974609e+00
7.324622545660751643e-04,0.000000000000000000e+00,6.879654407501220703e+00
7.651776902538899843e-04,0.000000000000000000e+00,6.878217697143554688e+00
7.688127386636471865e-04,0.000000000000000000e+00,6.878057956695556641e+00
7.924405533270688926e-04,0.000000000000000000e+00,6.876642704010009766e+00
7.960756017368260948e-04,0.000000000000000000e+00,6.876280307769775391e+00
8.142508437856121059e-04,0.000000000000000000e+00,6.874550342559814453e+00
8.178858921953693082e-04,0.000000000000000000e+00,6.874507904052734375e+00
8.433312310636697237e-04,0.000000000000000000e+00,6.872886180877685547e+00
8.469662794734269260e-04,0.000000000000000000e+00,6.872744083404541016e+00
8.760466667514844354e-04,0.000000000000000000e+00,6.871078491210937500e+00
8.796817151612416376e-04,0.000000000000000000e+00,6.871016025543212891e+00
8.905868603905132443e-04,0.000000000000000000e+00,6.869892597198486328e+00
8.942219088002704465e-04,0.000000000000000000e+00,6.869611740112304688e+00
9.214847718734494632e-04,0.000000000000000000e+00,6.867868423461914062e+00
9.251198202832066654e-04,0.000000000000000000e+00,6.867855072021484375e+00
9.414775381271139670e-04,0.000000000000000000e+00,6.866672515869140625e+00
9.451125865368711692e-04,0.000000000000000000e+00,6.866296291351318359e+00
9.614703043807785792e-04,0.000000000000000000e+00,6.864701747894287109e+00
9.651053527905357815e-04,0.000000000000000000e+00,6.864541530609130859e+00
9.814630706344430831e-04,0.000000000000000000e+00,6.862888336181640625e+00
9.850981190442002853e-04,0.000000000000000000e+00,6.862787723541259766e+00
1.008725933707622100e-03,0.000000000000000000e+00,6.861037731170654297e+00
1.012360982117379302e-03,0.000000000000000000e+00,6.861034393310546875e+00
1.017813554732015105e-03,0.000000000000000000e+00,6.860781192779541016e+00
1.021448603141772308e-03,0.000000000000000000e+00,6.860749721527099609e+00
1.025083651551529510e-03,0.000000000000000000e+00,6.859844207763671875e+00
1.025083651551529510e-03,3.509140081713836081e-07,6.859651088714599609e+00
1.032353748371043914e-03,3.509140081713836081e-07,6.859376430511474609e+00
1.035988796780801116e-03,3.509140081713836081e-07,6.859311580657958984e+00
1.045076417805194122e-03,3.509140081713836081e-07,6.858005523681640625e+00
1.048711466214951324e-03,3.509140081713836081e-07,6.857912063598632812e+00
1.068704232468615936e-03,3.509140081713836081e-07,6.856055736541748047e+00
1.072339280878373139e-03,3.509140081713836081e-07,6.856016159057617188e+00
1.085061950312523346e-03,3.509140081713836081e-07,6.854887485504150391e+00
1.088696998722280549e-03,3.509140081713836081e-07,6.854593276977539062e+00
1.103237192361309358e-03,3.509140081713836081e-07,6.853181362152099609e+00
1.106872240771066560e-03,3.509140081713836081e-07,6.852838039398193359e+00
1.121412434410095152e-03,3.509140081713836081e-07,6.851135253906250000e+00
1.125047482819852354e-03,3.509140081713836081e-07,6.851081371307373047e+00
1.143222724868638365e-03,3.509140081713836081e-07,6.849405288696289062e+00
1.146857773278395567e-03,3.509140081713836081e-07,6.849357604980468750e+00
1.154127870097909972e-03,3.509140081713836081e-07,6.848274230957031250e+00
1.157762918507667174e-03,3.509140081713836081e-07,6.847954273223876953e+00
1.179573208966210388e-03,3.509140081713836081e-07,6.846076488494873047e+00
1.183208257375967590e-03,3.509140081713836081e-07,6.846056461334228516e+00
1.190478354195481994e-03,3.509140081713836081e-07,6.844781875610351562e+00
1.194113402605239196e-03,3.509140081713836081e-07,6.844631671905517578e+00
1.206836072039389404e-03,3.509140081713836081e-07,6.843790054321289062e+00
1.210471120449146606e-03,3.509140081713836081e-07,6.842871189117431641e+00
1.223193789883296814e-03,3.509140081713836081e-07,6.841903686523437500e+00
1.226828838293054016e-03,3.509140081713836081e-07,6.841111660003662109e+00
1.248639128751597230e-03,3.509140081713836081e-07,6.839412689208984375e+00
1.252274177161354432e-03,3.509140081713836081e-07,6.839380264282226562e+00
1.264996846595504640e-03,3.509140081713836081e-07,6.837647914886474609e+00
1.268631895005261625e-03,3.509140081713836081e-07,6.837621688842773438e+00
1.277719516029654631e-03,3.509140081713836081e-07,6.836229801177978516e+00
1.281354564439411833e-03,3.509140081713836081e-07,6.836214542388916016e+00
1.294077233873562041e-03,3.509140081713836081e-07,6.834342956542968750e+00
1.299529806488197844e-03,3.509140081713836081e-07,6.834314346313476562e+00
1.304982379102833647e-03,3.509140081713836081e-07,6.833238601684570312e+00
1.308617427512590850e-03,3.509140081713836081e-07,6.832884311676025391e+00
1.321340096946741057e-03,3.509140081713836081e-07,6.831323623657226562e+00
1.324975145356498260e-03,3.509140081713836081e-07,6.831120967864990234e+00
1.328610193766255462e-03,3.509140081713836081e-07,6.830816745758056641e+00
1.328610193766255462e-03,7.018280163427672162e-07,6.830314636230468750e+00
1.332245242176012664e-03,7.018280163427672162e-07,6.829679489135742188e+00
1.335880290585769866e-03,7.018280163427672162e-07,6.829358577728271484e+00
1.352238008429677276e-03,7.018280163427672162e-07,6.827641010284423828e+00
1.355873056839434479e-03,7.018280163427672162e-07,6.827624797821044922e+00
1.359508105249191681e-03,7.018280163427672162e-07,6.827291965484619141e+00
1.363143153658948883e-03,7.018280163427672162e-07,6.826215267181396484e+00
1.375865823093099091e-03,7.018280163427672162e-07,6.824548721313476562e+00
1.379500871502856293e-03,7.018280163427672162e-07,6.824314594268798828e+00
1.383135919912613495e-03,7.018280163427672162e-07,6.824136734008789062e+00
1.383135919912613495e-03,1.052742024514150771e-06,6.823949337005615234e+00
1.394041065141885102e-03,1.052742024514150771e-06,6.823220729827880859e+00
1.394041065141885102e-03,1.403656032685534432e-06,6.822958469390869141e+00
1.395858589346763703e-03,1.403656032685534432e-06,6.822902679443359375e+00
1.399493637756520905e-03,1.403656032685534432e-06,6.822883605957031250e+00
1.404946210371156709e-03,1.403656032685534432e-06,6.822540283203125000e+00
1.404946210371156709e-03,2.456398057199684992e-06,6.821913242340087891e+00
1.406763734576035310e-03,2.456398057199684992e-06,6.821763992309570312e+00
1.406763734576035310e-03,3.158226073542452314e-06,6.821521282196044922e+00
1.408581258780913911e-03,3.158226073542452314e-06,6.821186065673828125e+00
1.412216307190671113e-03,3.158226073542452314e-06,6.821117877960205078e+00
1.421303928215063902e-03,3.158226073542452314e-06,6.820724487304687500e+00
1.421303928215063902e-03,3.509140081713835763e-06,6.820576190948486328e+00
1.426756500829699705e-03,3.509140081713835763e-06,6.820230007171630859e+00
1.426756500829699705e-03,4.210968098056603085e-06,6.819368362426757812e+00
1.430391549239456907e-03,4.210968098056603085e-06,6.819353103637695312e+00
1.432209073444335509e-03,4.210968098056603085e-06,6.819314956665039062e+00
1.432209073444335509e-03,4.561882106227986958e-06,6.819101810455322266e+00
1.437661646058971312e-03,4.561882106227986958e-06,6.818900585174560547e+00
1.437661646058971312e-03,4.912796114399369984e-06,6.818327426910400391e+00
1.443114218673607115e-03,4.912796114399369984e-06,6.817630767822265625e+00
1.446749267083364317e-03,4.912796114399369984e-06,6.817619323730468750e+00
1.454019363902878722e-03,4.912796114399369984e-06,6.816886425018310547e+00
1.454019363902878722e-03,5.263710122570753857e-06,6.816490173339843750e+00
1.457654412312635924e-03,5.263710122570753857e-06,6.815859317779541016e+00
1.461289460722393126e-03,5.263710122570753857e-06,6.815855503082275391e+00
1.461289460722393126e-03,5.614624130742137729e-06,6.815848827362060547e+00
1.470377081746786132e-03,5.614624130742137729e-06,6.814733982086181641e+00
1.470377081746786132e-03,5.965538138913520755e-06,6.814656734466552734e+00
1.472194605951664733e-03,5.965538138913520755e-06,6.814598560333251953e+00
1.472194605951664733e-03,6.316452147084904628e-06,6.814555644989013672e+00
1.475829654361421935e-03,6.316452147084904628e-06,6.814434051513671875e+00
1.479464702771179137e-03,6.316452147084904628e-06,6.814305782318115234e+00
1.481282226976057739e-03,6.316452147084904628e-06,6.814296722412109375e+00
1.481282226976057739e-03,7.018280163427671526e-06,6.814123153686523438e+00
1.483099751180936340e-03,7.018280163427671526e-06,6.813720703125000000e+00
1.483099751180936340e-03,7.369194171599055399e-06,6.813133239746093750e+00
1.486734799590693542e-03,7.369194171599055399e-06,6.812874317169189453e+00
1.486734799590693542e-03,7.720108179770438425e-06,6.812868118286132812e+00
1.488552323795572143e-03,7.720108179770438425e-06,6.812786102294921875e+00
1.492187372205329345e-03,7.720108179770438425e-06,6.812541484832763672e+00
1.495822420615086547e-03,7.720108179770438425e-06,6.812370777130126953e+00
1.495822420615086547e-03,8.071022187941823145e-06,6.811295032501220703e+00
1.497639944819965149e-03,8.071022187941823145e-06,6.811122894287109375e+00
1.501274993229722351e-03,8.071022187941823145e-06,6.811111450195312500e+00
1.501274993229722351e-03,8.421936196113206170e-06,6.810921192169189453e+00
1.506727565844358154e-03,8.421936196113206170e-06,6.810452938079833984e+00
1.506727565844358154e-03,8.772850204284589196e-06,6.809463500976562500e+00
1.510362614254115356e-03,8.772850204284589196e-06,6.809371948242187500e+00
1.513997662663872559e-03,8.772850204284589196e-06,6.809345722198486328e+00
1.523085283688265564e-03,8.772850204284589196e-06,6.808685302734375000e+00
1.523085283688265564e-03,9.123764212455973916e-06,6.808557033538818359e+00
1.524902807893144165e-03,9.123764212455973916e-06,6.807979583740234375e+00
1.524902807893144165e-03,9.825592228798739968e-06,6.807655334472656250e+00
1.526720332098022766e-03,9.825592228798739968e-06,6.807621479034423828e+00
1.530355380507779969e-03,9.825592228798739968e-06,6.807611465454101562e+00
1.532172904712658570e-03,9.825592228798739968e-06,6.807498931884765625e+00
1.532172904712658570e-03,1.017650623697012469e-05,6.807373523712158203e+00
1.541260525737051575e-03,1.017650623697012469e-05,6.806203365325927734e+00
1.541260525737051575e-03,1.052742024514150771e-05,6.806190967559814453e+00
1.544895574146808778e-03,1.052742024514150771e-05,6.805858612060546875e+00
1.548530622556565980e-03,1.052742024514150771e-05,6.805847644805908203e+00
