FPR,TPR,Threshold
0.000000000000000000e+00,0.000000000000000000e+00,inf
0.000000000000000000e+00,3.509140081713836081e-07,2.368981361389160156e+01
0.000000000000000000e+00,9.474678220627356603e-05,2.084951591491699219e+01
0.000000000000000000e+00,9.544861022261633208e-05,2.084928131103515625e+01
0.000000000000000000e+00,3.333683077628144301e-04,2.020288658142089844e+01
0.000000000000000000e+00,3.340701357791571826e-04,2.020250511169433594e+01
0.000000000000000000e+00,3.403865879262420635e-04,2.018952941894531250e+01
0.000000000000000000e+00,3.410884159425848702e-04,2.018899345397949219e+01
0.000000000000000000e+00,3.463521260651556224e-04,2.017702674865722656e+01
0.000000000000000000e+00,3.470539540814983749e-04,2.017581176757812500e+01
0.000000000000000000e+00,3.575813743266398792e-04,2.015430068969726562e+01
0.000000000000000000e+00,3.582832023429826317e-04,2.015252876281738281e+01
0.000000000000000000e+00,3.593359443674968147e-04,2.015116882324218750e+01
0.000000000000000000e+00,3.600377723838395672e-04,2.014946174621582031e+01
0.000000000000000000e+00,3.642487404818961906e-04,2.014133262634277344e+01
0.000000000000000000e+00,3.649505684982389431e-04,2.014101028442382812e+01
0.000000000000000000e+00,3.670560525472672548e-04,2.013686943054199219e+01
0.000000000000000000e+00,3.677578805636100073e-04,2.013636970520019531e+01
0.000000000000000000e+00,3.712670206453238240e-04,2.012619590759277344e+01
0.000000000000000000e+00,3.719688486616666307e-04,2.012583351135253906e+01
0.000000000000000000e+00,3.726706766780093832e-04,2.012377929687500000e+01
0.000000000000000000e+00,3.733725046943521357e-04,2.012338829040527344e+01
0.000000000000000000e+00,3.761798167597231999e-04,2.011777305603027344e+01
0.000000000000000000e+00,3.768816447760660066e-04,2.011739158630371094e+01
0.000000000000000000e+00,3.793380428332656404e-04,2.011112213134765625e+01
0.000000000000000000e+00,3.800398708496084471e-04,2.011095428466796875e+01
0.000000000000000000e+00,3.856544949803505755e-04,2.009934806823730469e+01
0.000000000000000000e+00,3.863563229966933280e-04,2.009896087646484375e+01
0.000000000000000000e+00,3.870581510130360805e-04,2.009829521179199219e+01
0.000000000000000000e+00,3.877599790293788872e-04,2.009828376770019531e+01
0.000000000000000000e+00,3.891636350620643922e-04,2.009274864196777344e+01
0.000000000000000000e+00,3.898654630784071989e-04,2.009130859375000000e+01
0.000000000000000000e+00,3.930236891519496394e-04,2.008675384521484375e+01
0.000000000000000000e+00,3.937255171682923919e-04,2.008590698242187500e+01
0.000000000000000000e+00,3.947782591928065206e-04,2.008399581909179688e+01
0.000000000000000000e+00,3.954800872091493273e-04,2.008333778381347656e+01
0.000000000000000000e+00,4.021474533644055845e-04,2.007333183288574219e+01
0.000000000000000000e+00,4.028492813807483912e-04,2.007294273376464844e+01
0.000000000000000000e+00,4.074111634869763366e-04,2.006400108337402344e+01
0.000000000000000000e+00,4.081129915033191433e-04,2.006256484985351562e+01
0.000000000000000000e+00,4.126748736095470888e-04,2.005638694763183594e+01
0.000000000000000000e+00,4.133767016258898955e-04,2.005528640747070312e+01
0.000000000000000000e+00,4.193422397648034002e-04,2.004598045349121094e+01
0.000000000000000000e+00,4.200440677811461527e-04,2.004550933837890625e+01
0.000000000000000000e+00,4.277641759609165928e-04,2.003380393981933594e+01
0.000000000000000000e+00,4.284660039772593453e-04,2.003345298767089844e+01
0.000000000000000000e+00,4.425025643041147205e-04,2.001801681518554688e+01
0.000000000000000000e+00,4.432043923204574730e-04,2.001767730712890625e+01
0.000000000000000000e+00,4.449589623613144085e-04,2.001499748229980469e+01
0.000000000000000000e+00,4.456607903776571610e-04,2.001458930969238281e+01
0.000000000000000000e+00,4.526790705410848486e-04,2.000508689880371094e+01
0.000000000000000000e+00,4.533808985574276011e-04,2.000405883789062500e+01
0.000000000000000000e+00,5.151417639955910678e-04,1.992424011230468750e+01
0.000000000000000000e+00,5.158435920119339288e-04,1.992288398742675781e+01
0.000000000000000000e+00,5.256691842407325722e-04,1.990547370910644531e+01
0.000000000000000000e+00,5.263710122570754331e-04,1.990518379211425781e+01
0.000000000000000000e+00,5.291783243224464431e-04,1.990123176574707031e+01
0.000000000000000000e+00,5.298801523387891956e-04,1.990038108825683594e+01
0.000000000000000000e+00,5.330383784123316360e-04,1.989394950866699219e+01
0.000000000000000000e+00,5.337402064286744970e-04,1.989335060119628906e+01
0.000000000000000000e+00,5.344420344450172495e-04,1.989211463928222656e+01
0.000000000000000000e+00,5.351438624613600020e-04,1.989194297790527344e+01
0.000000000000000000e+00,5.368984325022169374e-04,1.988903236389160156e+01
0.000000000000000000e+00,5.376002605185596899e-04,1.988861465454101562e+01
0.000000000000000000e+00,5.411094006002734524e-04,1.988202667236328125e+01
0.000000000000000000e+00,5.418112286166163133e-04,1.988132667541503906e+01
0.000000000000000000e+00,5.439167126656445708e-04,1.987386703491210938e+01
0.000000000000000000e+00,5.446185406819873233e-04,1.987376213073730469e+01
0.000000000000000000e+00,5.491804227882153772e-04,1.986641883850097656e+01
0.000000000000000000e+00,5.505840788209008822e-04,1.986445808410644531e+01
0.000000000000000000e+00,5.561987029516430106e-04,1.985346794128417969e+01
0.000000000000000000e+00,5.569005309679857631e-04,1.985248756408691406e+01
0.000000000000000000e+00,5.593569290251854511e-04,1.984894752502441406e+01
0.000000000000000000e+00,5.600587570415282036e-04,1.984526634216308594e+01
0.000000000000000000e+00,5.628660691068993220e-04,1.984277915954589844e+01
0.000000000000000000e+00,5.635678971232420745e-04,1.984227180480957031e+01
0.000000000000000000e+00,5.677788652212986979e-04,1.983530235290527344e+01
0.000000000000000000e+00,5.684806932376414504e-04,1.983508110046386719e+01
0.000000000000000000e+00,5.730425753438693958e-04,1.982754707336425781e+01
0.000000000000000000e+00,5.737444033602121483e-04,1.982753562927246094e+01
0.000000000000000000e+00,5.783062854664402022e-04,1.981959342956542969e+01
0.000000000000000000e+00,5.790081134827829547e-04,1.981940460205078125e+01
0.000000000000000000e+00,5.856754796380392661e-04,1.981109428405761719e+01
0.000000000000000000e+00,5.863773076543820186e-04,1.981089210510253906e+01
0.000000000000000000e+00,5.905882757524386420e-04,1.980359458923339844e+01
0.000000000000000000e+00,5.912901037687813945e-04,1.980346870422363281e+01
0.000000000000000000e+00,6.007647819894087159e-04,1.978972434997558594e+01
0.000000000000000000e+00,6.021684380220942209e-04,1.978811645507812500e+01
0.000000000000000000e+00,6.095376321936932847e-04,1.978137779235839844e+01
0.000000000000000000e+00,6.102394602100360372e-04,1.978113746643066406e+01
0.000000000000000000e+00,6.140995142999213386e-04,1.977543830871582031e+01
0.000000000000000000e+00,6.148013423162640911e-04,1.977501106262207031e+01
0.000000000000000000e+00,6.190123104143207145e-04,1.976977729797363281e+01
0.000000000000000000e+00,6.197141384306634670e-04,1.976930046081542969e+01
0.000000000000000000e+00,6.263815045859196700e-04,1.976272773742675781e+01
0.000000000000000000e+00,6.270833326022625309e-04,1.976248741149902344e+01
0.000000000000000000e+00,6.330488707411759813e-04,1.975667572021484375e+01
0.000000000000000000e+00,6.337506987575187338e-04,1.975585174560546875e+01
0.000000000000000000e+00,6.348034407820329168e-04,1.975465202331542969e+01
0.000000000000000000e+00,6.355052687983756693e-04,1.975444412231445312e+01
0.000000000000000000e+00,6.372598388392326047e-04,1.974999046325683594e+01
0.000000000000000000e+00,6.379616668555753572e-04,1.974970245361328125e+01
0.000000000000000000e+00,6.383125808637467877e-04,1.974938011169433594e+01
0.000000000000000000e+00,6.390144088800895402e-04,1.974920845031738281e+01
0.000000000000000000e+00,6.456817750353458516e-04,1.974232673645019531e+01
0.000000000000000000e+00,6.470854310680313566e-04,1.974211311340332031e+01
0.000000000000000000e+00,6.491909151170596141e-04,1.974044036865234375e+01
0.000000000000000000e+00,6.498927431334023666e-04,1.974015617370605469e+01
0.000000000000000000e+00,6.562091952804873559e-04,1.973146438598632812e+01
0.000000000000000000e+00,6.569110232968301084e-04,1.972974967956542969e+01
0.000000000000000000e+00,6.576128513131728609e-04,1.972874259948730469e+01
0.000000000000000000e+00,6.583146793295156134e-04,1.972828674316406250e+01
0.000000000000000000e+00,6.597183353622011184e-04,1.972659683227539062e+01
0.000000000000000000e+00,6.604201633785438709e-04,1.972626304626464844e+01
0.000000000000000000e+00,6.618238194112294843e-04,1.972474098205566406e+01
0.000000000000000000e+00,6.625256474275722368e-04,1.972443580627441406e+01
0.000000000000000000e+00,6.691930135828285482e-04,1.971772193908691406e+01
0.000000000000000000e+00,6.698948415991713007e-04,1.971770858764648438e+01
0.000000000000000000e+00,6.723512396563709886e-04,1.971482658386230469e+01
0.000000000000000000e+00,6.730530676727137411e-04,1.971414375305175781e+01
0.000000000000000000e+00,6.762112937462561816e-04,1.971102142333984375e+01
0.000000000000000000e+00,6.769131217625989341e-04,1.971096992492675781e+01
0.000000000000000000e+00,6.790186058116273000e-04,1.970794486999511719e+01
0.000000000000000000e+00,6.800713478361413745e-04,1.970750617980957031e+01
0.000000000000000000e+00,6.804222618443128050e-04,1.970707702636718750e+01
0.000000000000000000e+00,6.811240898606555575e-04,1.970656013488769531e+01
0.000000000000000000e+00,6.818259178769983100e-04,1.970532798767089844e+01
0.000000000000000000e+00,6.828786599015124930e-04,1.970484352111816406e+01
0.000000000000000000e+00,6.874405420077404384e-04,1.969933891296386719e+01
0.000000000000000000e+00,6.881423700240831909e-04,1.969925880432128906e+01
0.000000000000000000e+00,6.891951120485973739e-04,1.969753074645996094e+01
0.000000000000000000e+00,6.898969400649401264e-04,1.969742202758789062e+01
0.000000000000000000e+00,6.937569941548253193e-04,1.969266700744628906e+01
0.000000000000000000e+00,6.944588221711681802e-04,1.969236946105957031e+01
0.000000000000000000e+00,6.962133922120250073e-04,1.969035148620605469e+01
0.000000000000000000e+00,6.969152202283678682e-04,1.969006919860839844e+01
0.000000000000000000e+00,7.028807583672813187e-04,1.968280601501464844e+01
0.000000000000000000e+00,7.035825863836240712e-04,1.968280220031738281e+01
0.000000000000000000e+00,7.127063505960800705e-04,1.967477607727050781e+01
0.000000000000000000e+00,7.134081786124228230e-04,1.967441749572753906e+01
0.000000000000000000e+00,7.155136626614511889e-04,1.967123603820800781e+01
0.000000000000000000e+00,7.162154906777939414e-04,1.967002677917480469e+01
0.000000000000000000e+00,7.183209747268221989e-04,1.966761207580566406e+01
0.000000000000000000e+00,7.190228027431649514e-04,1.966732215881347656e+01
0.000000000000000000e+00,7.263919969147640153e-04,1.965926742553710938e+01
0.000000000000000000e+00,7.270938249311067678e-04,1.965926170349121094e+01
0.000000000000000000e+00,7.291993089801351337e-04,1.965692710876464844e+01
0.000000000000000000e+00,7.299011369964778862e-04,1.965691184997558594e+01
0.000000000000000000e+00,7.369194171599055196e-04,1.964872550964355469e+01
0.000000000000000000e+00,7.383230731925911330e-04,1.964832496643066406e+01
0.000000000000000000e+00,7.460431813723615189e-04,1.963874816894531250e+01
0.000000000000000000e+00,7.467450093887042714e-04,1.963870429992675781e+01
0.000000000000000000e+00,7.488504934377326373e-04,1.963717079162597656e+01
0.000000000000000000e+00,7.495523214540753898e-04,1.963710594177246094e+01
0.000000000000000000e+00,7.513068914949323253e-04,1.963608551025390625e+01
0.000000000000000000e+00,7.520087195112750778e-04,1.963586616516113281e+01
0.000000000000000000e+00,7.597288276910454637e-04,1.962641334533691406e+01
0.000000000000000000e+00,7.604306557073882162e-04,1.962591171264648438e+01
0.000000000000000000e+00,7.702562479361869680e-04,1.961357307434082031e+01
0.000000000000000000e+00,7.709580759525297205e-04,1.961348915100097656e+01
0.000000000000000000e+00,7.727126459933866560e-04,1.961149406433105469e+01
0.000000000000000000e+00,7.734144740097294085e-04,1.961132240295410156e+01
0.000000000000000000e+00,7.765727000832718489e-04,1.960662651062011719e+01
0.000000000000000000e+00,7.772745280996147099e-04,1.960555076599121094e+01
0.000000000000000000e+00,7.793800121486429673e-04,1.960484504699707031e+01
0.000000000000000000e+00,7.800818401649857198e-04,1.960470390319824219e+01
0.000000000000000000e+00,7.825382382221854078e-04,1.960206604003906250e+01
0.000000000000000000e+00,7.832400662385281603e-04,1.960112953186035156e+01
0.000000000000000000e+00,7.846437222712136653e-04,1.960048484802246094e+01
0.000000000000000000e+00,7.853455502875565262e-04,1.960041809082031250e+01
0.000000000000000000e+00,8.520192118401193147e-04,1.954454040527343750e+01
0.000000000000000000e+00,8.527210398564621756e-04,1.954400444030761719e+01
0.000000000000000000e+00,8.579847499790328735e-04,1.953990745544433594e+01
0.000000000000000000e+00,8.586865779953756260e-04,1.953948783874511719e+01
0.000000000000000000e+00,8.625466320852609274e-04,1.953583717346191406e+01
0.000000000000000000e+00,8.632484601016036799e-04,1.953568840026855469e+01
0.000000000000000000e+00,8.681612562160030558e-04,1.953132820129394531e+01
0.000000000000000000e+00,8.688630842323458083e-04,1.953111267089843750e+01
0.000000000000000000e+00,8.748286223712592588e-04,1.952695465087890625e+01
0.000000000000000000e+00,8.755304503876021197e-04,1.952688407897949219e+01
0.000000000000000000e+00,8.790395904693158822e-04,1.952334785461425781e+01
0.000000000000000000e+00,8.797414184856586347e-04,1.952322387695312500e+01
0.000000000000000000e+00,8.836014725755439361e-04,1.952077674865722656e+01
0.000000000000000000e+00,8.843033005918866886e-04,1.952065658569335938e+01
0.000000000000000000e+00,8.871106126572576986e-04,1.951736068725585938e+01
0.000000000000000000e+00,8.878124406736004511e-04,1.951693344116210938e+01
0.000000000000000000e+00,8.920234087716570745e-04,1.951417732238769531e+01
0.000000000000000000e+00,8.927252367879998270e-04,1.951389884948730469e+01
0.000000000000000000e+00,8.944798068288567624e-04,1.951183891296386719e+01
0.000000000000000000e+00,8.951816348451995149e-04,1.951156425476074219e+01
0.000000000000000000e+00,8.962343768697136979e-04,1.951033592224121094e+01
0.000000000000000000e+00,8.969362048860564504e-04,1.951032066345214844e+01
0.000000000000000000e+00,9.018490010004558263e-04,1.950769996643066406e+01
0.000000000000000000e+00,9.025508290167985788e-04,1.950765419006347656e+01
0.000000000000000000e+00,9.064108831066837717e-04,1.950513648986816406e+01
0.000000000000000000e+00,9.071127111230266327e-04,1.950505065917968750e+01
0.000000000000000000e+00,9.109727652129118256e-04,1.950150871276855469e+01
0.000000000000000000e+00,9.116745932292545781e-04,1.950140571594238281e+01
0.000000000000000000e+00,9.232547554989102654e-04,1.949170303344726562e+01
0.000000000000000000e+00,9.239565835152530179e-04,1.949143791198730469e+01
0.000000000000000000e+00,9.278166376051382109e-04,1.948897743225097656e+01
0.000000000000000000e+00,9.285184656214809634e-04,1.948815345764160156e+01
0.000000000000000000e+00,9.327294337195375868e-04,1.948528861999511719e+01
0.000000000000000000e+00,9.334312617358803393e-04,1.948509979248046875e+01
0.000000000000000000e+00,9.365894878094227797e-04,1.948179435729980469e+01
