FPR	TPR	Threshold
0.000000	0.000000	inf
0.000000	0.000003	16025387884.022087
0.000000	0.004880	16025387883.178516
0.000000	0.004886	16025387883.176611
0.000000	0.016463	16025387873.445017
0.000009	0.016463	16025387873.440378
0.000009	0.016466	16025387873.440042
0.000013	0.016466	16025387873.436789
0.000013	0.016469	16025387873.435938
0.000017	0.016469	16025387873.432457
0.000017	0.016472	16025387873.431562
0.000020	0.016472	16025387873.427414
0.000020	0.016475	16025387873.426853
0.000022	0.016475	16025387873.424555
0.000022	0.016478	16025387873.423080
0.000025	0.016478	16025387873.419495
0.000025	0.016481	16025387873.417770
0.000026	0.016481	16025387873.415390
0.000026	0.016484	16025387873.414597
0.000029	0.016484	16025387873.409678
0.000029	0.016487	16025387873.408684
0.000030	0.016487	16025387873.406534
0.000030	0.016490	16025387873.406113
0.000032	0.016490	16025387873.401379
0.000032	0.016493	16025387873.399597
0.000033	0.016493	16025387873.398157
0.000033	0.016496	16025387873.397629
0.000036	0.016496	16025387873.391211
0.000036	0.016502	16025387873.389135
0.000038	0.016502	16025387873.383520
0.000038	0.016505	16025387873.381403
0.000039	0.016505	16025387873.381329
0.000039	0.016508	16025387873.380648
0.000041	0.016508	16025387873.373569
0.000041	0.016514	16025387873.372149
0.000043	0.016514	16025387873.365499
0.000043	0.016517	16025387873.363655
0.000044	0.016517	16025387873.363382
0.000044	0.016520	16025387873.363207
0.000046	0.016520	16025387873.356131
0.000046	0.016523	16025387873.355160
0.000046	0.016523	16025387873.354244
0.000046	0.016526	16025387873.354103
0.000048	0.016526	16025387873.347052
0.000048	0.016529	16025387873.346657
0.000049	0.016529	16025387873.345703
0.000049	0.016532	16025387873.344997
0.000050	0.016532	16025387873.338259
0.000050	0.016538	16025387873.335884
0.000052	0.016538	16025387873.330402
0.000052	0.016541	16025387873.329651
0.000053	0.016541	16025387873.327473
0.000053	0.016544	16025387873.326778
0.000054	0.016544	16025387873.321613
0.000054	0.016547	16025387873.321146
0.000054	0.016547	16025387873.320036
0.000054	0.016550	16025387873.317661
0.000056	0.016550	16025387873.314772
0.000056	0.016553	16025387873.312632
0.000056	0.016553	16025387873.311211
0.000056	0.016556	16025387873.308542
0.000057	0.016556	16025387873.305477
0.000057	0.016559	16025387873.304123
0.000058	0.016559	16025387873.300190
0.000058	0.016562	16025387873.299421
0.000059	0.016562	16025387873.297049
0.000059	0.016565	16025387873.295610
0.000060	0.016565	16025387873.291245
0.000060	0.016569	16025387873.290298
0.000061	0.016569	16025387873.288559
0.000061	0.016572	16025387873.287096
0.000062	0.016572	16025387873.282349
0.000062	0.016575	16025387873.281174
0.000063	0.016575	16025387873.279255
0.000063	0.016578	16025387873.278580
0.000064	0.016578	16025387873.273212
0.000064	0.016584	16025387873.270054
0.000066	0.016584	16025387873.263268
0.000066	0.016590	16025387873.261534
0.000067	0.016590	16025387873.253984
0.000067	0.016596	16025387873.253014
0.000068	0.016596	16025387873.247602
0.000068	0.016602	16025387873.244484
0.000070	0.016602	16025387873.236324
0.000070	0.016608	16025387873.235504
0.000071	0.016608	16025387873.229853
0.000071	0.016611	16025387873.227425
0.000072	0.016611	16025387873.226591
0.000072	0.016614	16025387873.226366
0.000073	0.016614	16025387873.219145
0.000073	0.016620	16025387873.217224
0.000074	0.016620	16025387873.212336
0.000074	0.016626	16025387873.208078
0.000075	0.016626	16025387873.204248
0.000075	0.016629	16025387873.201822
0.000076	0.016629	16025387873.199650
0.000076	0.016632	16025387873.198927
0.000077	0.016632	16025387873.197453
0.000077	0.016635	16025387873.193283
0.000077	0.016635	16025387873.191942
0.000077	0.016638	16025387873.189777
0.000078	0.016638	16025387873.185558
0.000078	0.016641	16025387873.184742
0.000079	0.016641	16025387873.181808
0.000079	0.016644	16025387873.180618
0.000080	0.016644	16025387873.176800
0.000080	0.016647	16025387873.176197
0.000080	0.016647	16025387873.173149
0.000080	0.016650	16025387873.171461
0.000081	0.016650	16025387873.169231
0.000081	0.016653	16025387873.167652
0.000081	0.016653	16025387873.165665
0.000081	0.016656	16025387873.162302
0.000082	0.016656	16025387873.161352
0.000082	0.016659	16025387873.159101
0.000082	0.016659	16025387873.157930
0.000082	0.016662	16025387873.153137
0.000083	0.016662	16025387873.152941
0.000083	0.016665	16025387873.150555
0.000084	0.016665	16025387873.145102
0.000084	0.016672	16025387873.142000
0.000085	0.016672	16025387873.136356
0.000085	0.016678	16025387873.133450
0.000087	0.016678	16025387873.128040
0.000087	0.016684	16025387873.124886
0.000088	0.016684	16025387873.119425
0.000088	0.016690	16025387873.116333
0.000089	0.016690	16025387873.110271
0.000089	0.016696	16025387873.107281
0.000090	0.016696	16025387873.101620
0.000090	0.016702	16025387873.098103
0.000091	0.016702	16025387873.092762
0.000091	0.016708	16025387873.088924
0.000092	0.016708	16025387873.083258
0.000092	0.016714	16025387873.079741
0.000094	0.016714	16025387873.074286
0.000094	0.016720	16025387873.070547
0.000095	0.016720	16025387873.065029
0.000095	0.016726	16025387873.061359
0.000095	0.016726	16025387873.060804
0.000095	0.016729	16025387873.056360
0.000096	0.016729	16025387873.055662
0.000096	0.016732	16025387873.052166
0.000096	0.016732	16025387873.051275
0.000096	0.016735	16025387873.047781
0.000097	0.016735	16025387873.046076
0.000097	0.016738	16025387873.042974
0.000098	0.016738	16025387873.041487
0.000098	0.016741	16025387873.039206
0.000098	0.016741	16025387873.036520
0.000098	0.016744	16025387873.033777
0.000099	0.016744	16025387873.032040
0.000099	0.016747	16025387873.030621
0.000099	0.016747	16025387873.026459
0.000099	0.016750	16025387873.024574
0.000100	0.016750	16025387873.022161
0.000100	0.016753	16025387873.022039
0.000101	0.016753	16025387873.017092
