FPR	TPR	Threshold
0.000000	0.000000	inf
0.000001	0.000000	116984936689.983368
0.000097	0.000000	116984936689.806992
0.000098	0.000000	116984936689.803223
0.000241	0.000000	116984936689.205368
0.000242	0.000000	116984936689.205154
0.000299	0.000000	116984936689.172089
0.000301	0.000000	116984936689.171082
0.000320	0.000000	116984936689.153931
0.000322	0.000000	116984936689.153564
0.000329	0.000000	116984936689.147049
0.000330	0.000000	116984936689.145630
0.000357	0.000000	116984936689.107193
0.000358	0.000000	116984936689.105759
0.000389	0.000000	116984936689.053619
0.000390	0.000000	116984936689.052811
0.000399	0.000000	116984936689.049713
0.000401	0.000000	116984936689.049652
0.000415	0.000000	116984936689.041473
0.000416	0.000000	116984936689.041229
0.000432	0.000000	116984936689.033691
0.000433	0.000000	116984936689.033386
0.000439	0.000000	116984936689.029785
0.000440	0.000000	116984936689.029572
0.000822	0.000000	116984936688.193130
0.000823	0.000000	116984936688.192841
0.000827	0.000000	116984936688.190735
0.000828	0.000000	116984936688.190369
0.000956	0.000000	116984936688.058044
0.000957	0.000000	116984936688.057877
0.000981	0.000000	116984936688.017990
0.000982	0.000000	116984936688.017822
0.001094	0.000000	116984936687.800903
0.001094	0.000003	116984936687.800400
0.001095	0.000003	116984936687.800140
0.001095	0.000015	116984936687.798782
0.001095	0.000015	116984936687.798721
0.001095	0.000051	116984936687.795456
0.001095	0.000058	116984936687.795135
0.001095	0.000100	116984936687.791000
0.001096	0.000100	116984936687.790604
0.001096	0.000106	116984936687.790207
0.001096	0.000112	116984936687.789810
0.001096	0.000130	116984936687.787827
0.001097	0.000130	116984936687.787781
0.001097	0.000142	116984936687.786575
0.001097	0.000142	116984936687.786484
0.001097	0.000148	116984936687.786255
0.001098	0.000148	116984936687.786163
0.001098	0.000164	116984936687.784698
0.001098	0.000164	116984936687.784546
0.001098	0.000173	116984936687.783707
0.001099	0.000173	116984936687.783539
0.001099	0.000200	116984936687.780975
0.001101	0.000200	116984936687.780731
0.001101	0.000239	116984936687.777130
0.001101	0.000239	116984936687.777008
0.001101	0.000251	116984936687.775650
0.001102	0.000251	116984936687.775452
0.001102	0.000294	116984936687.771362
0.001102	0.000294	116984936687.771210
0.001102	0.000321	116984936687.768448
0.001103	0.000321	116984936687.768280
0.001103	0.000336	116984936687.767029
0.001104	0.000336	116984936687.766785
0.001104	0.000345	116984936687.765991
0.001104	0.000345	116984936687.765854
0.001104	0.000376	116984936687.762909
0.001105	0.000376	116984936687.762207
0.001105	0.000403	116984936687.760010
0.001106	0.000403	116984936687.759476
0.001106	0.000445	116984936687.755280
0.001107	0.000445	116984936687.754959
0.001107	0.000469	116984936687.752701
0.001108	0.000469	116984936687.752060
0.001108	0.000494	116984936687.750000
0.001109	0.000494	116984936687.749863
0.001109	0.000503	116984936687.748825
0.001110	0.000503	116984936687.748596
0.001110	0.000545	116984936687.744293
0.001111	0.000545	116984936687.743744
0.001111	0.000572	116984936687.741226
0.001111	0.000572	116984936687.741165
0.001111	0.000591	116984936687.738983
0.001112	0.000591	116984936687.738708
0.001112	0.000609	116984936687.737152
0.001112	0.000609	116984936687.736755
0.001112	0.000615	116984936687.736374
0.001113	0.000615	116984936687.736343
0.001113	0.000624	116984936687.735336
0.001114	0.000624	116984936687.735214
0.001114	0.000642	116984936687.733078
0.001114	0.000642	116984936687.732864
0.001114	0.000657	116984936687.731445
0.001115	0.000657	116984936687.731186
0.001115	0.000663	116984936687.730865
0.001115	0.000663	116984936687.730301
0.001115	0.000703	116984936687.726212
0.001116	0.000703	116984936687.725967
0.001116	0.000727	116984936687.723511
0.001116	0.000727	116984936687.723145
0.001116	0.000733	116984936687.722443
0.001117	0.000733	116984936687.722412
0.001117	0.000754	116984936687.720062
0.001117	0.000760	116984936687.719650
0.001118	0.000760	116984936687.719070
0.001118	0.000781	116984936687.716858
0.001118	0.000781	116984936687.716812
0.001118	0.000809	116984936687.713654
0.001119	0.000809	116984936687.713455
0.001119	0.000815	116984936687.713028
0.001119	0.000815	116984936687.712494
0.001119	0.000827	116984936687.711273
0.001120	0.000827	116984936687.711166
0.001120	0.000833	116984936687.710648
0.001121	0.000833	116984936687.710602
0.001121	0.000866	116984936687.706573
0.001121	0.000866	116984936687.706512
0.001121	0.000878	116984936687.705246
0.001122	0.000878	116984936687.704758
0.001122	0.000909	116984936687.701553
0.001122	0.000909	116984936687.701538
0.001122	0.000924	116984936687.699524
0.001123	0.000924	116984936687.699509
0.001123	0.000933	116984936687.698593
0.001123	0.000933	116984936687.698273
0.001123	0.000948	116984936687.696472
0.001124	0.000948	116984936687.696259
0.001124	0.000987	116984936687.691711
0.001124	0.000994	116984936687.691086
0.001124	0.001012	116984936687.688644
0.001125	0.001012	116984936687.688156
0.001125	0.001018	116984936687.687988
0.001125	0.001018	116984936687.687927
0.001125	0.001048	116984936687.684082
0.001126	0.001051	116984936687.683533
0.001126	0.001051	116984936687.682999
0.001126	0.001063	116984936687.682205
0.001127	0.001063	116984936687.681793
0.001127	0.001093	116984936687.678268
0.001128	0.001093	116984936687.677780
0.001128	0.001103	116984936687.677094
0.001128	0.001103	116984936687.677032
0.001128	0.001112	116984936687.675720
0.001129	0.001112	116984936687.675690
0.001129	0.001118	116984936687.675262
0.001129	0.001118	116984936687.674484
0.001129	0.001148	116984936687.671127
0.001130	0.001148	116984936687.670700
0.001130	0.001175	116984936687.667435
0.001131	0.001175	116984936687.667282
0.001131	0.001178	116984936687.667191
0.001131	0.001178	116984936687.667114
0.001131	0.001215	116984936687.662521
0.001132	0.001215	116984936687.662079
0.001132	0.001227	116984936687.660583
0.001132	0.001227	116984936687.660477
0.001132	0.001230	116984936687.660355
0.001133	0.001230	116984936687.660278
0.001133	0.001242	116984936687.658646
0.001133	0.001245	116984936687.658539
0.001134	0.001245	116984936687.658249
0.001134	0.001254	116984936687.657272
0.001135	0.001254	116984936687.656738
0.001135	0.001281	116984936687.653473
0.001135	0.001281	116984936687.653320
0.001135	0.001284	116984936687.653046
0.001136	0.001284	116984936687.652725
0.001136	0.001299	116984936687.651016
0.001136	0.001299	116984936687.650833
0.001136	0.001315	116984936687.649063
0.001137	0.001315	116984936687.649048
0.001137	0.001351	116984936687.643951
0.001138	0.001351	116984936687.643707
0.001138	0.001402	116984936687.636993
0.001139	0.001402	116984936687.636490
0.001139	0.001412	116984936687.635513
0.001139	0.001412	116984936687.635437
0.001139	0.001460	116984936687.629013
0.001140	0.001460	116984936687.628922
0.001140	0.001493	116984936687.624405
0.001140	0.001493	116984936687.624298
0.001140	0.001499	116984936687.623627
0.001142	0.001499	116984936687.622971
0.001142	0.001505	116984936687.622742
0.001142	0.001505	116984936687.622513
0.001142	0.001511	116984936687.621735
0.001143	0.001511	116984936687.621643
