FPR	TPR	Threshold
0.000000	0.000000	inf
0.000000	0.000003	0.248914
0.000001	0.000003	0.248883
0.000001	0.000009	0.248490
0.000001	0.000018	0.248236
0.000001	0.000045	0.247728
0.000001	0.000097	0.247473
0.000001	0.000100	0.247257
0.000001	0.000112	0.247248
0.000001	0.000118	0.246964
0.000001	0.000118	0.246927
0.000001	0.000121	0.246784
0.000006	0.000121	0.246685
0.000009	0.000121	0.246589
0.000009	0.000124	0.246550
0.000009	0.000139	0.246502
0.000021	0.000139	0.246498
0.000021	0.000176	0.246449
0.000021	0.000203	0.246408
0.000023	0.000203	0.246404
0.000023	0.000206	0.246378
0.000030	0.000206	0.246262
0.000030	0.000215	0.246228
0.000030	0.000218	0.246152
0.000031	0.000218	0.246138
0.000031	0.000221	0.246020
0.000032	0.000221	0.246003
0.000032	0.000224	0.245927
0.000032	0.000239	0.245765
0.000036	0.000239	0.245763
0.000036	0.000242	0.245743
0.000039	0.000242	0.245713
0.000039	0.000245	0.245674
0.000046	0.000245	0.245660
0.000050	0.000245	0.245596
0.000050	0.000466	0.245542
0.000050	0.000509	0.245446
0.000050	0.000521	0.245441
0.000050	0.000536	0.245395
0.000050	0.000545	0.245342
0.000050	0.000548	0.245305
0.000053	0.000548	0.245275
0.000053	0.000554	0.245229
0.000053	0.000660	0.245227
0.000053	0.000672	0.245185
0.000060	0.000672	0.245168
0.000060	0.000672	0.245163
0.000071	0.000672	0.245158
0.000080	0.000672	0.245152
0.000080	0.000700	0.245141
0.000080	0.000703	0.245123
0.000080	0.000721	0.245113
0.000084	0.000721	0.245102
0.000087	0.000721	0.245099
0.000087	0.000724	0.245086
0.000087	0.000745	0.245085
0.000096	0.000745	0.245080
0.000097	0.000745	0.245065
0.000097	0.000754	0.244940
0.000097	0.000772	0.244934
0.000097	0.000788	0.244931
0.000097	0.000797	0.244929
0.000098	0.000797	0.244918
0.000099	0.000797	0.244912
0.000102	0.000797	0.244896
0.000106	0.000797	0.244881
0.000108	0.000797	0.244880
0.000108	0.000803	0.244877
0.000108	0.000803	0.244871
0.000116	0.000803	0.244843
0.000116	0.000806	0.244817
0.000117	0.000806	0.244782
0.000125	0.000806	0.244757
0.000128	0.000806	0.244756
0.000129	0.000806	0.244708
0.000129	0.000809	0.244697
0.000129	0.000845	0.244688
0.000129	0.000894	0.244674
0.000130	0.000894	0.244672
0.000136	0.000894	0.244627
0.000136	0.000903	0.244621
0.000146	0.000903	0.244593
0.000149	0.000903	0.244587
0.000149	0.000912	0.244568
0.000149	0.000918	0.244523
0.000154	0.000918	0.244477
0.000154	0.000918	0.244469
0.000154	0.000942	0.244461
0.000154	0.000945	0.244430
0.000158	0.000945	0.244423
0.000165	0.000945	0.244407
0.000168	0.000945	0.244396
0.000169	0.000945	0.244384
0.000181	0.000945	0.244374
0.000187	0.000945	0.244371
0.000187	0.000945	0.244365
0.000187	0.001018	0.244360
0.000188	0.001018	0.244344
0.000189	0.001018	0.244317
0.000189	0.001021	0.244276
0.000192	0.001021	0.244262
0.000192	0.001027	0.244231
0.000192	0.001027	0.244222
0.000192	0.001030	0.244183
0.000197	0.001030	0.244119
0.000199	0.001030	0.244114
0.000199	0.001036	0.244090
0.000199	0.001036	0.244079
0.000199	0.001084	0.244055
0.000201	0.001084	0.244019
0.000201	0.001090	0.243986
0.000201	0.001090	0.243974
0.000201	0.001093	0.243946
0.000202	0.001093	0.243933
0.000208	0.001093	0.243921
0.000208	0.001093	0.243916
0.000208	0.001100	0.243906
0.000211	0.001100	0.243900
0.000211	0.001103	0.243894
0.000211	0.001109	0.243891
0.000215	0.001109	0.243857
0.000215	0.001112	0.243839
0.000215	0.001112	0.243834
0.000216	0.001112	0.243831
0.000216	0.001115	0.243827
0.000221	0.001115	0.243823
0.000222	0.001115	0.243811
0.000223	0.001115	0.243785
0.000240	0.001115	0.243766
0.000240	0.001118	0.243763
0.000240	0.001118	0.243751
0.000254	0.001118	0.243746
0.000254	0.001124	0.243679
0.000257	0.001124	0.243662
0.000257	0.001154	0.243660
0.000257	0.001154	0.243652
0.000263	0.001154	0.243643
0.000263	0.001160	0.243620
0.000265	0.001160	0.243592
0.000265	0.001163	0.243564
0.000266	0.001163	0.243504
0.000266	0.001169	0.243490
0.000267	0.001169	0.243477
0.000268	0.001169	0.243457
0.000268	0.001172	0.243447
0.000269	0.001172	0.243445
0.000269	0.001178	0.243413
0.000270	0.001178	0.243413
0.000276	0.001178	0.243403
0.000276	0.001181	0.243401
0.000279	0.001181	0.243398
0.000280	0.001181	0.243386
0.000280	0.001184	0.243384
0.000280	0.001224	0.243360
0.000280	0.001230	0.243354
0.000280	0.001293	0.243345
0.000284	0.001293	0.243317
0.000284	0.001296	0.243302
0.000284	0.001296	0.243285
0.000286	0.001296	0.243264
0.000286	0.001299	0.243252
0.000291	0.001299	0.243250
0.000301	0.001299	0.243247
0.000305	0.001299	0.243198
0.000305	0.001299	0.243174
0.000307	0.001299	0.243144
0.000307	0.001302	0.243143
0.000308	0.001302	0.243137
0.000309	0.001302	0.243133
0.000309	0.001312	0.243131
0.000311	0.001312	0.243129
0.000311	0.001336	0.243066
0.000311	0.001336	0.243064
0.000315	0.001336	0.243039
0.000321	0.001336	0.243025
0.000323	0.001336	0.243020
0.000323	0.001339	0.243000
0.000324	0.001339	0.243000
0.000333	0.001339	0.242999
0.000333	0.001342	0.242992
0.000354	0.001342	0.242987
0.000356	0.001342	0.242984
0.000356	0.001351	0.242963
0.000364	0.001351	0.242954
0.000364	0.001363	0.242944
0.000364	0.001375	0.242929
0.000365	0.001375	0.242898
0.000370	0.001375	0.242884
0.000370	0.001393	0.242839
0.000370	0.001496	0.242817
0.000370	0.001502	0.242800
0.000370	0.001511	0.242799
0.000371	0.001511	0.242780
0.000394	0.001511	0.242765
0.000394	0.001536	0.242754
0.000395	0.001536	0.242750
0.000408	0.001536	0.242739
0.000408	0.001548	0.242737
0.000408	0.001548	0.242731
0.000408	0.001551	0.242727
0.000413	0.001551	0.242723
0.000413	0.001560	0.242722
0.000416	0.001560	0.242715
0.000417	0.001560	0.242688
0.000417	0.001587	0.242630
0.000417	0.001590	0.242627
0.000417	0.001648	0.242614
0.000417	0.001654	0.242600
0.000418	0.001654	0.242598
0.000418	0.001663	0.242548
0.000418	0.001663	0.242542
0.000423	0.001663	0.242541
0.000423	0.001666	0.242532
0.000423	0.001684	0.242531
0.000423	0.001778	0.242530
0.000423	0.001778	0.242521
0.000423	0.001781	0.242507
0.000424	0.001781	0.242498
0.000424	0.001787	0.242484
0.000433	0.001787	0.242480
0.000433	0.001787	0.242474
0.000436	0.001787	0.242468
0.000453	0.001787	0.242466
0.000453	0.001793	0.242456
0.000465	0.001793	0.242455
0.000465	0.001796	0.242444
0.000475	0.001796	0.242443
0.000475	0.001808	0.242434
0.000493	0.001808	0.242425
0.000496	0.001808	0.242410
0.000498	0.001808	0.242409
