FPR	TPR	Threshold
0.000000	0.000000	inf
0.000001	0.000000	-0.000072
0.000004	0.000000	-0.000072
0.000012	0.000000	-0.000072
0.000016	0.000000	-0.000072
0.000020	0.000000	-0.000072
0.000024	0.000000	-0.000072
0.000025	0.000000	-0.000072
0.000027	0.000000	-0.000072
0.000028	0.000000	-0.000072
0.000031	0.000000	-0.000072
0.000033	0.000000	-0.000072
0.000040	0.000000	-0.000072
0.000045	0.000000	-0.000072
0.000049	0.000000	-0.000072
0.000052	0.000000	-0.000072
0.000054	0.000000	-0.000072
0.000057	0.000000	-0.000072
0.000064	0.000000	-0.000072
0.000082	0.000000	-0.000072
0.000083	0.000000	-0.000072
0.000089	0.000000	-0.000072
0.000089	0.000000	-0.000072
0.000098	0.000000	-0.000072
0.000100	0.000000	-0.000072
0.000103	0.000000	-0.000072
0.000143	0.000000	-0.000072
0.000154	0.000000	-0.000072
0.000163	0.000000	-0.000072
0.000164	0.000000	-0.000072
0.000167	0.000000	-0.000072
0.000168	0.000000	-0.000072
0.000184	0.000000	-0.000072
0.000189	0.000000	-0.000072
0.000191	0.000000	-0.000072
0.000199	0.000000	-0.000072
0.000202	0.000000	-0.000072
0.000205	0.000000	-0.000072
0.000210	0.000000	-0.000072
0.000211	0.000000	-0.000072
0.000212	0.000000	-0.000072
0.000229	0.000000	-0.000072
0.000233	0.000000	-0.000072
0.000239	0.000000	-0.000072
0.000244	0.000000	-0.000072
0.000257	0.000000	-0.000072
0.000258	0.000000	-0.000072
0.000261	0.000000	-0.000072
0.000265	0.000000	-0.000073
0.000267	0.000000	-0.000073
0.000270	0.000000	-0.000073
0.000271	0.000000	-0.000073
0.000275	0.000000	-0.000073
0.000276	0.000000	-0.000073
0.000277	0.000000	-0.000073
0.000284	0.000000	-0.000073
0.000285	0.000000	-0.000073
0.000294	0.000000	-0.000073
0.000295	0.000000	-0.000073
0.000308	0.000000	-0.000073
0.000316	0.000000	-0.000073
0.000322	0.000000	-0.000073
0.000331	0.000000	-0.000073
0.000332	0.000000	-0.000073
0.000353	0.000000	-0.000073
0.000371	0.000000	-0.000073
0.000373	0.000000	-0.000073
0.000375	0.000000	-0.000073
0.000378	0.000000	-0.000073
0.000381	0.000000	-0.000073
0.000384	0.000000	-0.000073
0.000394	0.000000	-0.000073
0.000396	0.000000	-0.000073
0.000398	0.000000	-0.000073
0.000399	0.000000	-0.000073
0.000402	0.000000	-0.000073
0.000403	0.000000	-0.000073
0.000404	0.000000	-0.000073
0.000405	0.000000	-0.000073
0.000408	0.000000	-0.000073
0.000409	0.000000	-0.000073
0.000412	0.000000	-0.000073
0.000415	0.000000	-0.000073
0.000416	0.000000	-0.000073
0.000418	0.000000	-0.000073
0.000419	0.000000	-0.000073
0.000426	0.000000	-0.000073
0.000429	0.000000	-0.000073
0.000436	0.000000	-0.000073
0.000447	0.000000	-0.000073
0.000460	0.000000	-0.000073
0.000464	0.000000	-0.000073
0.000470	0.000000	-0.000073
0.000474	0.000000	-0.000073
0.000477	0.000000	-0.000073
0.000480	0.000000	-0.000073
0.000487	0.000000	-0.000073
0.000490	0.000000	-0.000073
0.000494	0.000000	-0.000073
0.000496	0.000000	-0.000073
0.000499	0.000000	-0.000073
0.000501	0.000000	-0.000073
0.000506	0.000000	-0.000073
0.000509	0.000000	-0.000073
0.000515	0.000000	-0.000073
0.000516	0.000000	-0.000073
0.000519	0.000000	-0.000073
0.000521	0.000000	-0.000073
0.000530	0.000000	-0.000073
0.000541	0.000000	-0.000073
0.000543	0.000000	-0.000073
0.000549	0.000000	-0.000073
0.000552	0.000000	-0.000073
0.000559	0.000000	-0.000073
0.000560	0.000000	-0.000073
0.000575	0.000000	-0.000073
0.000585	0.000000	-0.000073
0.000588	0.000000	-0.000073
0.000597	0.000000	-0.000073
0.000605	0.000000	-0.000073
0.000611	0.000000	-0.000073
0.000614	0.000000	-0.000073
0.000615	0.000000	-0.000073
0.000618	0.000000	-0.000073
0.000618	0.000000	-0.000073
0.000625	0.000000	-0.000073
0.000633	0.000000	-0.000073
0.000639	0.000000	-0.000073
0.000647	0.000000	-0.000073
0.000651	0.000000	-0.000073
0.000652	0.000000	-0.000073
0.000656	0.000000	-0.000073
0.000658	0.000000	-0.000073
0.000680	0.000000	-0.000073
0.000681	0.000000	-0.000073
0.000695	0.000000	-0.000073
0.000697	0.000000	-0.000073
0.000702	0.000000	-0.000073
0.000706	0.000000	-0.000073
0.000710	0.000000	-0.000073
0.000712	0.000000	-0.000073
0.000713	0.000000	-0.000073
0.000719	0.000000	-0.000073
0.000720	0.000000	-0.000073
0.000728	0.000000	-0.000073
0.000729	0.000000	-0.000073
0.000733	0.000000	-0.000073
0.000734	0.000000	-0.000073
0.000742	0.000000	-0.000073
0.000745	0.000000	-0.000073
0.000771	0.000000	-0.000073
0.000777	0.000000	-0.000073
0.000781	0.000000	-0.000073
0.000782	0.000000	-0.000073
0.000787	0.000000	-0.000073
0.000788	0.000000	-0.000073
0.000803	0.000000	-0.000073
0.000808	0.000000	-0.000073
0.000811	0.000000	-0.000073
0.000816	0.000000	-0.000073
0.000818	0.000000	-0.000073
0.000819	0.000000	-0.000073
0.000843	0.000000	-0.000073
0.000848	0.000000	-0.000073
