FPR	TPR	Threshold
0.000000	0.000000	inf
0.000003	0.000000	-0.000136
0.000010	0.000000	-0.000136
0.000013	0.000000	-0.000136
0.000019	0.000000	-0.000136
0.000019	0.000000	-0.000136
0.000020	0.000000	-0.000136
0.000021	0.000000	-0.000136
0.000023	0.000000	-0.000136
0.000024	0.000000	-0.000136
0.000025	0.000000	-0.000136
0.000026	0.000000	-0.000136
0.000027	0.000000	-0.000136
0.000031	0.000000	-0.000137
0.000038	0.000000	-0.000137
0.000043	0.000000	-0.000137
0.000046	0.000000	-0.000137
0.000050	0.000000	-0.000137
0.000051	0.000000	-0.000137
0.000058	0.000000	-0.000137
0.000060	0.000000	-0.000137
0.000063	0.000000	-0.000137
0.000073	0.000000	-0.000137
0.000075	0.000000	-0.000137
0.000077	0.000000	-0.000137
0.000091	0.000000	-0.000137
0.000098	0.000000	-0.000137
0.000100	0.000000	-0.000137
0.000101	0.000000	-0.000137
0.000104	0.000000	-0.000137
0.000111	0.000000	-0.000137
0.000113	0.000000	-0.000137
0.000116	0.000000	-0.000137
0.000118	0.000000	-0.000137
0.000120	0.000000	-0.000137
0.000126	0.000000	-0.000137
0.000127	0.000000	-0.000137
0.000129	0.000000	-0.000137
0.000129	0.000000	-0.000137
0.000132	0.000000	-0.000137
0.000133	0.000000	-0.000137
0.000134	0.000000	-0.000137
0.000135	0.000000	-0.000137
0.000138	0.000000	-0.000137
0.000143	0.000000	-0.000137
0.000144	0.000000	-0.000137
0.000149	0.000000	-0.000137
0.000151	0.000000	-0.000137
0.000154	0.000000	-0.000137
0.000155	0.000000	-0.000137
0.000156	0.000000	-0.000137
0.000160	0.000000	-0.000137
0.000162	0.000000	-0.000137
0.000163	0.000000	-0.000137
0.000170	0.000000	-0.000137
0.000173	0.000000	-0.000137
0.000177	0.000000	-0.000137
0.000178	0.000000	-0.000137
0.000179	0.000000	-0.000137
0.000181	0.000000	-0.000137
0.000182	0.000000	-0.000137
0.000187	0.000000	-0.000137
0.000189	0.000000	-0.000137
0.000190	0.000000	-0.000137
0.000191	0.000000	-0.000137
0.000197	0.000000	-0.000137
0.000199	0.000000	-0.000137
0.000200	0.000000	-0.000137
0.000202	0.000000	-0.000137
0.000204	0.000000	-0.000137
0.000204	0.000000	-0.000137
0.000209	0.000000	-0.000137
0.000211	0.000000	-0.000137
0.000219	0.000000	-0.000137
0.000223	0.000000	-0.000137
0.000223	0.000000	-0.000137
0.000225	0.000000	-0.000137
0.000226	0.000000	-0.000137
0.000229	0.000000	-0.000137
0.000232	0.000000	-0.000137
0.000234	0.000000	-0.000137
0.000235	0.000000	-0.000137
0.000236	0.000000	-0.000137
0.000237	0.000000	-0.000137
0.000238	0.000000	-0.000137
0.000239	0.000000	-0.000137
0.000240	0.000000	-0.000137
0.000242	0.000000	-0.000137
0.000244	0.000000	-0.000137
0.000246	0.000000	-0.000137
0.000247	0.000000	-0.000137
0.000248	0.000000	-0.000137
0.000249	0.000000	-0.000137
0.000255	0.000000	-0.000137
0.000257	0.000000	-0.000137
0.000259	0.000000	-0.000137
0.000260	0.000000	-0.000137
0.000265	0.000000	-0.000138
0.000272	0.000000	-0.000139
0.000284	0.000000	-0.000139
0.000288	0.000000	-0.000139
0.000289	0.000000	-0.000139
0.000293	0.000000	-0.000139
0.000294	0.000000	-0.000139
0.000302	0.000000	-0.000139
0.000304	0.000000	-0.000139
0.000306	0.000000	-0.000139
0.000314	0.000000	-0.000139
0.000316	0.000000	-0.000139
0.000323	0.000000	-0.000139
0.000324	0.000000	-0.000139
0.000325	0.000000	-0.000139
0.000328	0.000000	-0.000139
0.000329	0.000000	-0.000139
0.000333	0.000000	-0.000139
0.000336	0.000000	-0.000139
0.000338	0.000000	-0.000139
0.000343	0.000000	-0.000139
0.000347	0.000000	-0.000139
0.000354	0.000000	-0.000139
0.000354	0.000000	-0.000139
0.000356	0.000000	-0.000139
0.000356	0.000000	-0.000139
0.000360	0.000000	-0.000139
0.000361	0.000000	-0.000139
0.000366	0.000000	-0.000139
0.000368	0.000000	-0.000139
0.000371	0.000000	-0.000139
0.000390	0.000000	-0.000139
0.000394	0.000000	-0.000139
0.000395	0.000000	-0.000139
0.000402	0.000000	-0.000139
0.000408	0.000000	-0.000139
0.000410	0.000000	-0.000139
0.000411	0.000000	-0.000139
0.000415	0.000000	-0.000139
0.000421	0.000000	-0.000139
0.000432	0.000000	-0.000139
0.000433	0.000000	-0.000139
0.000434	0.000000	-0.000139
0.000435	0.000000	-0.000139
0.000436	0.000000	-0.000139
0.000440	0.000000	-0.000139
0.000442	0.000000	-0.000139
0.000444	0.000000	-0.000139
0.000444	0.000000	-0.000139
0.000447	0.000000	-0.000139
0.000448	0.000000	-0.000139
0.000450	0.000000	-0.000139
0.000451	0.000000	-0.000139
0.000453	0.000000	-0.000139
0.000454	0.000000	-0.000139
0.000456	0.000000	-0.000139
0.000457	0.000000	-0.000139
0.000458	0.000000	-0.000139
0.000460	0.000000	-0.000139
0.000461	0.000000	-0.000139
0.000462	0.000000	-0.000139
0.000467	0.000000	-0.000139
0.000473	0.000000	-0.000139
0.000473	0.000000	-0.000139
0.000474	0.000000	-0.000139
0.000475	0.000000	-0.000139
0.000480	0.000000	-0.000139
0.000482	0.000000	-0.000139
0.000485	0.000000	-0.000139
0.000488	0.000000	-0.000139
0.000488	0.000000	-0.000139
0.000490	0.000000	-0.000139
0.000491	0.000000	-0.000139
0.000492	0.000000	-0.000139
0.000494	0.000000	-0.000139
0.000499	0.000000	-0.000140
0.000501	0.000000	-0.000140
0.000508	0.000000	-0.000140
0.000512	0.000000	-0.000140
0.000513	0.000000	-0.000140
0.000521	0.000000	-0.000140
0.000529	0.000000	-0.000140
0.000530	0.000000	-0.000140
0.000535	0.000000	-0.000140
0.000536	0.000000	-0.000140
0.000543	0.000000	-0.000140
0.000553	0.000000	-0.000140
0.000560	0.000000	-0.000140
0.000565	0.000000	-0.000140
0.000567	0.000000	-0.000140
0.000570	0.000000	-0.000140
0.000575	0.000000	-0.000140
0.000578	0.000000	-0.000140
0.000594	0.000000	-0.000140
0.000597	0.000000	-0.000140
0.000602	0.000000	-0.000140
0.000603	0.000000	-0.000140
0.000619	0.000000	-0.000140
0.000619	0.000000	-0.000140
0.000621	0.000000	-0.000140
0.000621	0.000000	-0.000140
0.000624	0.000000	-0.000140
0.000625	0.000000	-0.000140
0.000626	0.000000	-0.000140
0.000628	0.000000	-0.000140
0.000628	0.000000	-0.000140
0.000645	0.000000	-0.000140
0.000646	0.000000	-0.000140
0.000657	0.000000	-0.000140
0.000659	0.000000	-0.000140
0.000659	0.000000	-0.000140
0.000660	0.000000	-0.000140
0.000661	0.000000	-0.000140
0.000666	0.000000	-0.000140
0.000672	0.000000	-0.000140
0.000673	0.000000	-0.000140
0.000679	0.000000	-0.000140
0.000680	0.000000	-0.000140
0.000682	0.000000	-0.000140
0.000683	0.000000	-0.000140
0.000692	0.000000	-0.000140
0.000693	0.000000	-0.000140
0.000704	0.000000	-0.000140
0.000706	0.000000	-0.000140
0.000708	0.000000	-0.000140
0.000711	0.000000	-0.000140
0.000711	0.000000	-0.000140
0.000712	0.000000	-0.000140
0.000714	0.000000	-0.000140
0.000715	0.000000	-0.000140
0.000717	0.000000	-0.000140
0.000719	0.000000	-0.000140
0.000721	0.000000	-0.000140
0.000722	0.000000	-0.000140
0.000723	0.000000	-0.000140
0.000724	0.000000	-0.000140
0.000726	0.000000	-0.000140
0.000733	0.000000	-0.000142
0.000734	0.000000	-0.000143
0.000736	0.000000	-0.000143
0.000739	0.000000	-0.000143
0.000741	0.000000	-0.000143
0.000748	0.000000	-0.000143
0.000750	0.000000	-0.000143
0.000752	0.000000	-0.000143
0.000755	0.000000	-0.000143
0.000757	0.000000	-0.000143
0.000764	0.000000	-0.000143
0.000768	0.000000	-0.000143
0.000788	0.000000	-0.000143
0.000794	0.000000	-0.000143
0.000795	0.000000	-0.000143
0.000797	0.000000	-0.000143
0.000799	0.000000	-0.000143
0.000802	0.000000	-0.000143
0.000804	0.000000	-0.000143
0.000806	0.000000	-0.000143
0.000808	0.000000	-0.000143
0.000816	0.000000	-0.000143
0.000821	0.000000	-0.000143
0.000822	0.000000	-0.000143
0.000823	0.000000	-0.000143
0.000828	0.000000	-0.000143
0.000828	0.000000	-0.000143
0.000830	0.000000	-0.000143
0.000833	0.000000	-0.000143
0.000834	0.000000	-0.000143
0.000835	0.000000	-0.000143
0.000836	0.000000	-0.000143
0.000847	0.000000	-0.000143
