FPR	TPR	Threshold
0.000000	0.000000	inf
0.000002	0.000000	0.097323
0.000004	0.000000	0.097323
0.000006	0.000000	0.096902
0.000008	0.000000	0.094790
0.000011	0.000000	0.094790
0.000012	0.000000	0.094790
0.000013	0.000000	0.094237
0.000015	0.000000	0.094237
0.000016	0.000000	0.090734
0.000018	0.000000	0.090734
0.000019	0.000000	0.090734
0.000022	0.000000	0.090294
0.000022	0.000006	0.088272
0.000023	0.000006	0.088202
0.000023	0.000015	0.088143
0.000024	0.000015	0.088098
0.000024	0.000018	0.088057
0.000025	0.000018	0.087947
0.000027	0.000018	0.087403
0.000028	0.000018	0.087403
0.000028	0.000024	0.085693
0.000029	0.000024	0.085608
0.000029	0.000027	0.085242
0.000030	0.000027	0.085208
0.000032	0.000027	0.084784
0.000034	0.000027	0.084309
0.000035	0.000027	0.083892
0.000036	0.000027	0.083480
0.000039	0.000027	0.083173
0.000040	0.000027	0.081845
0.000040	0.000030	0.081482
0.000041	0.000030	0.081382
0.000041	0.000036	0.080292
0.000042	0.000036	0.080094
0.000045	0.000036	0.080007
0.000047	0.000036	0.078392
0.000047	0.000039	0.078317
0.000051	0.000039	0.077503
0.000053	0.000039	0.077144
0.000054	0.000039	0.076751
0.000056	0.000039	0.075839
0.000056	0.000042	0.075740
0.000057	0.000042	0.074709
0.000061	0.000042	0.073941
0.000061	0.000042	0.073619
0.000061	0.000045	0.073299
0.000062	0.000045	0.073284
0.000063	0.000045	0.071341
0.000066	0.000045	0.071341
0.000067	0.000045	0.070495
0.000071	0.000045	0.069401
0.000073	0.000045	0.069401
0.000073	0.000048	0.068570
0.000074	0.000048	0.068445
0.000075	0.000048	0.067633
0.000076	0.000048	0.067492
0.000076	0.000051	0.066984
0.000077	0.000051	0.066978
0.000078	0.000051	0.066258
0.000082	0.000051	0.066089
0.000082	0.000055	0.065071
0.000084	0.000055	0.063705
0.000088	0.000055	0.063446
0.000088	0.000058	0.061368
0.000089	0.000058	0.061318
0.000091	0.000058	0.061318
0.000094	0.000058	0.060665
0.000094	0.000064	0.060081
0.000096	0.000064	0.059297
0.000096	0.000067	0.058933
0.000096	0.000067	0.058310
0.000098	0.000067	0.058310
0.000099	0.000067	0.058251
0.000099	0.000070	0.058075
0.000101	0.000070	0.057835
0.000101	0.000076	0.057692
0.000101	0.000076	0.057689
0.000101	0.000079	0.057509
0.000102	0.000079	0.056938
0.000104	0.000079	0.056446
0.000104	0.000082	0.056436
0.000105	0.000082	0.055616
0.000105	0.000085	0.055325
0.000106	0.000085	0.055236
0.000106	0.000091	0.054969
0.000111	0.000091	0.052171
0.000111	0.000094	0.052163
0.000112	0.000094	0.051451
0.000112	0.000097	0.051431
0.000112	0.000103	0.051280
0.000112	0.000127	0.051280
0.000112	0.000176	0.051280
0.000112	0.000206	0.051146
0.000112	0.000248	0.051146
0.000112	0.000254	0.051146
0.000113	0.000254	0.050935
0.000113	0.000257	0.050836
0.000115	0.000257	0.050776
0.000115	0.000342	0.050399
0.000115	0.000348	0.050233
0.000115	0.000391	0.050118
0.000115	0.000427	0.050118
0.000115	0.000430	0.049849
0.000115	0.000479	0.049617
0.000115	0.000509	0.049617
0.000115	0.000512	0.049216
0.000115	0.000548	0.049216
0.000115	0.000588	0.049216
0.000115	0.000591	0.049152
0.000116	0.000591	0.049058
0.000116	0.000594	0.049051
0.000117	0.000594	0.048959
0.000117	0.000666	0.048944
0.000117	0.000672	0.048944
0.000119	0.000672	0.048710
0.000120	0.000672	0.048552
0.000120	0.000685	0.048530
0.000120	0.000706	0.048530
0.000120	0.000751	0.048530
0.000120	0.000754	0.048523
0.000120	0.000788	0.048214
0.000120	0.000830	0.048214
0.000120	0.000830	0.047787
0.000120	0.000903	0.047712
0.000120	0.000924	0.047712
0.000120	0.000981	0.047576
0.000120	0.000997	0.047576
0.000120	0.001015	0.047530
0.000120	0.001039	0.047530
0.000120	0.001078	0.047530
0.000121	0.001078	0.047511
0.000121	0.001087	0.047355
0.000121	0.001163	0.047297
0.000121	0.001166	0.047297
0.000122	0.001166	0.047116
0.000122	0.001175	0.046938
0.000122	0.001218	0.046938
0.000122	0.001245	0.046938
0.000122	0.001275	0.046675
0.000122	0.001324	0.046675
