FPR	TPR	Threshold
0.000000	0.000000	inf
0.000000	0.000003	13954.617601
0.000000	0.002081	13943.279443
0.000000	0.002099	13943.274660
0.000000	0.002102	13943.274149
0.000000	0.002132	13943.265586
0.000000	0.002135	13943.263821
0.000000	0.002141	13943.263318
0.000000	0.002145	13943.261188
0.000000	0.002151	13943.261049
0.000000	0.002154	13943.258928
0.000000	0.002190	13943.249706
0.000000	0.002193	13943.247455
0.000000	0.002217	13943.240632
0.000000	0.002220	13943.240001
0.000000	0.002257	13943.229289
0.000000	0.002260	13943.228623
0.000000	0.002278	13943.222483
0.000000	0.002287	13943.213075
0.000000	0.002293	13943.212567
0.000000	0.002296	13943.206040
0.000000	0.002302	13943.205702
0.000000	0.002305	13943.200559
0.000000	0.002311	13943.192380
0.000000	0.002317	13943.180449
0.000000	0.002323	13943.172193
0.000000	0.002326	13943.161116
0.000000	0.002332	13943.160980
0.000000	0.002338	13943.154842
0.000000	0.002350	13943.131819
0.000000	0.002357	13943.121674
0.000000	0.002369	13943.111632
0.000000	0.002375	13943.096412
0.000000	0.002381	13943.091445
0.000000	0.002393	13943.082233
0.000000	0.002405	13943.071258
0.000000	0.002417	13943.055335
0.000000	0.002423	13943.051071
0.000000	0.002438	13943.034199
0.000000	0.002444	13943.030884
0.000000	0.002447	13943.028480
0.000000	0.002453	13943.026813
0.000000	0.002460	13943.016763
0.000000	0.002466	13943.010697
0.000000	0.002475	13942.994454
0.000000	0.002487	13942.982090
0.000000	0.002490	13942.980224
0.000000	0.002496	13942.970324
0.000000	0.002511	13942.952401
0.000000	0.002517	13942.950137
0.000000	0.002523	13942.943678
0.000000	0.002529	13942.937368
0.000000	0.002538	13942.931718
0.000000	0.002544	13942.929950
0.000000	0.002547	13942.924465
0.000000	0.002553	13942.909763
0.000000	0.002559	13942.896612
0.000000	0.002572	13942.889576
0.000000	0.002587	13942.883529
0.000000	0.002593	13942.869390
0.000000	0.002596	13942.865704
0.000000	0.002602	13942.849203
0.000000	0.002605	13942.847937
0.000000	0.002611	13942.847924
0.000000	0.002614	13942.845582
0.000000	0.002620	13942.829016
0.000000	0.002623	13942.811343
0.000000	0.002629	13942.808829
0.000000	0.002632	13942.806141
0.000000	0.002638	13942.803202
0.000000	0.002641	13942.794591
0.000000	0.002653	13942.768456
0.000000	0.002662	13942.761521
0.000000	0.002669	13942.758480
0.000000	0.002672	13942.750481
0.000000	0.002684	13942.728083
0.000000	0.002693	13942.721170
0.000000	0.002699	13942.713759
0.000000	0.002702	13942.712879
0.000000	0.002708	13942.707896
0.000000	0.002726	13942.687817
0.000000	0.002732	13942.687709
0.000000	0.002741	13942.672321
0.000000	0.002753	13942.667523
0.000000	0.002756	13942.648375
0.000000	0.002762	13942.647336
0.000000	0.002768	13942.630645
0.000000	0.002775	13942.627150
0.000000	0.002778	13942.625174
0.000000	0.002784	13942.624315
0.000000	0.002799	13942.608934
0.000000	0.002805	13942.606963
0.000000	0.002811	13942.590672
0.000000	0.002817	13942.586777
0.000000	0.002820	13942.580558
0.000000	0.002826	13942.579594
0.000000	0.002832	13942.569056
0.000000	0.002838	13942.555043
0.000000	0.002844	13942.547057
0.000000	0.002850	13942.534873
0.000000	0.002856	13942.526029
0.000000	0.002862	13942.521960
0.000000	0.002878	13942.490611
0.000000	0.002890	13942.488877
0.000000	0.002896	13942.472156
0.000000	0.002902	13942.455795
0.000000	0.002905	13942.451170
0.000000	0.002911	13942.445430
