FPR	TPR	Threshold
0.000000	0.000000	inf
0.000001	0.000000	0.081838
0.000002	0.000000	0.080872
0.000002	0.000003	0.080804
0.000003	0.000003	0.080305
0.000003	0.000015	0.079673
0.000004	0.000015	0.079617
0.000004	0.000018	0.079544
0.000004	0.000018	0.078927
0.000004	0.000021	0.078862
0.000005	0.000021	0.078382
0.000005	0.000027	0.076814
0.000007	0.000027	0.074156
0.000007	0.000033	0.073453
0.000008	0.000033	0.073075
0.000008	0.000036	0.072374
0.000009	0.000036	0.072005
0.000009	0.000039	0.071864
0.000010	0.000039	0.071456
0.000010	0.000042	0.070871
0.000013	0.000042	0.068168
0.000013	0.000045	0.067818
0.000022	0.000045	0.065006
0.000022	0.000051	0.064820
0.000029	0.000051	0.063266
0.000032	0.000051	0.063195
0.000033	0.000051	0.063101
0.000033	0.000051	0.063097
0.000035	0.000051	0.063014
0.000036	0.000051	0.063014
0.000038	0.000051	0.062781
0.000040	0.000051	0.062781
0.000044	0.000051	0.062643
0.000046	0.000051	0.062218
0.000051	0.000051	0.062175
0.000052	0.000051	0.062175
0.000053	0.000051	0.062167
0.000055	0.000051	0.062109
0.000057	0.000051	0.061316
0.000060	0.000051	0.061316
0.000060	0.000051	0.061268
0.000064	0.000051	0.060952
0.000064	0.000051	0.060783
0.000067	0.000051	0.060783
0.000067	0.000058	0.060743
0.000071	0.000058	0.059317
0.000073	0.000058	0.058706
0.000073	0.000064	0.058507
0.000074	0.000064	0.057085
0.000074	0.000067	0.057002
0.000077	0.000067	0.056774
0.000078	0.000067	0.055893
0.000081	0.000067	0.055535
0.000081	0.000067	0.055347
0.000082	0.000067	0.055269
0.000086	0.000067	0.055116
0.000088	0.000067	0.054785
0.000091	0.000067	0.054756
0.000092	0.000067	0.054136
0.000094	0.000067	0.054128
0.000096	0.000067	0.053181
0.000097	0.000067	0.053132
0.000097	0.000070	0.052912
0.000100	0.000070	0.052504
0.000101	0.000070	0.052394
0.000101	0.000076	0.052337
0.000101	0.000079	0.052228
0.000105	0.000079	0.051610
0.000106	0.000079	0.051610
0.000106	0.000079	0.051560
0.000108	0.000079	0.050337
0.000112	0.000079	0.049273
0.000113	0.000079	0.049220
0.000114	0.000079	0.048769
0.000115	0.000079	0.048510
0.000115	0.000082	0.048020
0.000116	0.000082	0.047919
0.000116	0.000085	0.047801
0.000119	0.000085	0.046901
0.000120	0.000085	0.046835
0.000125	0.000085	0.045453
0.000126	0.000085	0.045453
0.000128	0.000085	0.044380
0.000128	0.000088	0.043807
0.000132	0.000088	0.043016
0.000133	0.000088	0.042944
0.000133	0.000094	0.042714
0.000133	0.000094	0.042111
0.000133	0.000097	0.042091
0.000139	0.000097	0.041023
0.000139	0.000127	0.040573
0.000139	0.000127	0.040438
0.000139	0.000130	0.040247
0.000140	0.000130	0.040102
0.000140	0.000191	0.040013
0.000140	0.000197	0.039997
0.000140	0.000203	0.039971
0.000141	0.000203	0.039753
0.000141	0.000209	0.039725
0.000141	0.000215	0.039678
0.000141	0.000221	0.039626
0.000142	0.000221	0.039610
0.000142	0.000251	0.039541
0.000142	0.000257	0.039461
0.000142	0.000267	0.039417
0.000142	0.000273	0.039398
0.000142	0.000276	0.039379
0.000142	0.000282	0.039343
0.000142	0.000282	0.039284
0.000142	0.000312	0.039217
0.000143	0.000312	0.039169
0.000143	0.000318	0.039145
0.000143	0.000324	0.039137
0.000144	0.000324	0.039129
0.000144	0.000336	0.039060
0.000144	0.000367	0.038965
0.000144	0.000370	0.038940
0.000144	0.000376	0.038907
0.000144	0.000385	0.038885
0.000144	0.000403	0.038818
0.000144	0.000406	0.038813
0.000144	0.000436	0.038807
0.000144	0.000442	0.038793
0.000144	0.000448	0.038740
0.000144	0.000457	0.038714
0.000144	0.000482	0.038688
0.000144	0.000488	0.038688
0.000144	0.000491	0.038661
0.000144	0.000491	0.038645
0.000144	0.000509	0.038520
0.000144	0.000518	0.038434
0.000144	0.000548	0.038405
0.000144	0.000551	0.038374
0.000144	0.000557	0.038364
0.000144	0.000560	0.038346
0.000146	0.000560	0.038296
0.000146	0.000563	0.038287
0.000146	0.000569	0.038235
0.000146	0.000569	0.038232
0.000146	0.000597	0.038226
0.000146	0.000600	0.038226
0.000146	0.000630	0.038167
0.000146	0.000636	0.038129
0.000146	0.000666	0.038117
0.000147	0.000666	0.038065
0.000147	0.000678	0.037996
0.000147	0.000688	0.037986
0.000147	0.000691	0.037961
0.000147	0.000715	0.037956
0.000147	0.000721	0.037956
0.000147	0.000781	0.037923
0.000147	0.000785	0.037918
0.000147	0.000791	0.037916
0.000147	0.000815	0.037838
0.000147	0.000818	0.037837
0.000147	0.000818	0.037834
0.000147	0.000842	0.037778
0.000147	0.000848	0.037778
0.000148	0.000848	0.037768
0.000148	0.000854	0.037683
0.000148	0.000884	0.037659
0.000148	0.000887	0.037609
0.000148	0.000897	0.037545
0.000148	0.000900	0.037541
0.000148	0.000924	0.037490
0.000148	0.000927	0.037484
0.000148	0.000945	0.037400
0.000148	0.000969	0.037396
0.000148	0.000975	0.037396
0.000148	0.000978	0.037395
0.000148	0.000984	0.037362
0.000148	0.001003	0.037341
0.000148	0.001009	0.037305
0.000149	0.001009	0.037231
0.000149	0.001027	0.037210
0.000149	0.001051	0.037208
0.000150	0.001051	0.037165
0.000150	0.001054	0.037160
0.000151	0.001054	0.037153
0.000151	0.001078	0.037152
0.000153	0.001078	0.037102
0.000154	0.001078	0.037095
0.000154	0.001103	0.037081
0.000161	0.001103	0.036993
0.000161	0.001106	0.036990
0.000161	0.001106	0.036947
0.000161	0.001115	0.036919
0.000161	0.001124	0.036911
0.000161	0.001145	0.036911
0.000164	0.001145	0.036878
0.000164	0.001163	0.036851
0.000166	0.001163	0.036827
0.000166	0.001166	0.036808
0.000166	0.001166	0.036798
0.000166	0.001172	0.036791
0.000169	0.001172	0.036743
0.000169	0.001203	0.036742
0.000170	0.001203	0.036729
0.000173	0.001203	0.036687
0.000173	0.001233	0.036652
0.000174	0.001233	0.036642
0.000174	0.001254	0.036641
0.000174	0.001260	0.036613
0.000174	0.001263	0.036612
0.000182	0.001263	0.036547
0.000182	0.001266	0.036545
0.000182	0.001296	0.036542
0.000184	0.001296	0.036542
0.000184	0.001299	0.036531
0.000189	0.001299	0.036491
0.000191	0.001299	0.036478
0.000194	0.001299	0.036402
0.000194	0.001305	0.036398
0.000199	0.001305	0.036358
0.000200	0.001305	0.036358
0.000201	0.001305	0.036344
0.000204	0.001305	0.036343
0.000204	0.001309	0.036335
0.000205	0.001309	0.036318
0.000205	0.001327	0.036312
0.000210	0.001327	0.036271
0.000211	0.001327	0.036264
0.000215	0.001327	0.036245
0.000215	0.001330	0.036245
0.000218	0.001330	0.036222
0.000218	0.001333	0.036219
0.000220	0.001333	0.036210
0.000220	0.001336	0.036209
0.000226	0.001336	0.036176
0.000229	0.001336	0.036157
0.000231	0.001336	0.036147
0.000232	0.001336	0.036143
0.000232	0.001342	0.036141
0.000232	0.001345	0.036137
0.000237	0.001345	0.036111
0.000239	0.001345	0.036107
0.000239	0.001351	0.036089
0.000240	0.001351	0.036046
0.000242	0.001351	0.036042
0.000242	0.001354	0.036035
0.000243	0.001354	0.036025
0.000244	0.001354	0.036019
0.000244	0.001354	0.036019
0.000244	0.001357	0.036015
0.000246	0.001357	0.036013
0.000246	0.001360	0.036007
0.000246	0.001366	0.036000
0.000246	0.001366	0.035998
0.000246	0.001372	0.035991
0.000246	0.001396	0.035991
0.000252	0.001396	0.035970
0.000253	0.001396	0.035969
0.000254	0.001396	0.035967
0.000254	0.001399	0.035964
0.000256	0.001399	0.035961
0.000260	0.001399	0.035946
0.000260	0.001424	0.035945
0.000261	0.001424	0.035942
0.000261	0.001433	0.035942
0.000263	0.001433	0.035933
0.000264	0.001433	0.035930
0.000264	0.001442	0.035919
0.000266	0.001442	0.035914
0.000267	0.001442	0.035899
0.000267	0.001448	0.035898
0.000267	0.001448	0.035898
0.000267	0.001451	0.035894
0.000268	0.001451	0.035893
0.000268	0.001460	0.035871
0.000269	0.001460	0.035865
0.000269	0.001463	0.035854
0.000271	0.001463	0.035845
0.000272	0.001463	0.035828
0.000274	0.001463	0.035806
0.000275	0.001463	0.035803
0.000275	0.001466	0.035799
0.000280	0.001466	0.035781
0.000281	0.001466	0.035779
0.000281	0.001469	0.035772
0.000283	0.001469	0.035752
0.000283	0.001499	0.035751
0.000283	0.001502	0.035748
0.000287	0.001502	0.035729
0.000288	0.001502	0.035729
0.000289	0.001502	0.035718
0.000289	0.001505	0.035716
0.000290	0.001505	0.035716
0.000290	0.001508	0.035715
0.000291	0.001508	0.035702
0.000291	0.001514	0.035699
0.000292	0.001514	0.035698
0.000292	0.001521	0.035697
0.000292	0.001548	0.035697
0.000293	0.001548	0.035695
0.000294	0.001548	0.035692
0.000298	0.001548	0.035660
0.000298	0.001566	0.035657
0.000299	0.001566	0.035655
0.000300	0.001566	0.035655
0.000300	0.001569	0.035652
0.000301	0.001569	0.035649
0.000301	0.001572	0.035641
0.000302	0.001572	0.035612
0.000302	0.001575	0.035609
0.000303	0.001575	0.035599
0.000303	0.001578	0.035599
0.000306	0.001578	0.035579
0.000306	0.001581	0.035578
0.000307	0.001581	0.035575
0.000307	0.001584	0.035574
0.000309	0.001584	0.035563
0.000309	0.001587	0.035559
0.000314	0.001587	0.035545
0.000314	0.001611	0.035530
0.000315	0.001611	0.035529
0.000316	0.001611	0.035521
0.000318	0.001611	0.035509
0.000318	0.001614	0.035507
0.000319	0.001614	0.035495
0.000319	0.001617	0.035488
0.000321	0.001617	0.035457
0.000322	0.001617	0.035456
0.000323	0.001617	0.035456
0.000323	0.001624	0.035451
0.000323	0.001636	0.035447
0.000323	0.001654	0.035447
0.000323	0.001657	0.035441
0.000326	0.001657	0.035407
0.000328	0.001657	0.035401
0.000330	0.001657	0.035386
0.000331	0.001657	0.035385
0.000332	0.001657	0.035381
0.000335	0.001657	0.035373
0.000337	0.001657	0.035358
0.000338	0.001657	0.035350
0.000339	0.001657	0.035345
0.000339	0.001687	0.035341
0.000339	0.001711	0.035341
0.000342	0.001711	0.035329
0.000343	0.001711	0.035327
0.000347	0.001711	0.035277
0.000347	0.001714	0.035267
0.000348	0.001714	0.035265
0.000348	0.001717	0.035258
0.000349	0.001717	0.035256
0.000350	0.001717	0.035253
0.000351	0.001717	0.035242
0.000353	0.001717	0.035235
0.000354	0.001717	0.035228
0.000354	0.001720	0.035228
0.000354	0.001748	0.035228
0.000356	0.001748	0.035218
0.000357	0.001748	0.035216
0.000357	0.001751	0.035215
0.000361	0.001751	0.035183
0.000365	0.001751	0.035170
0.000368	0.001751	0.035160
0.000369	0.001751	0.035149
0.000370	0.001751	0.035138
0.000371	0.001751	0.035136
0.000373	0.001751	0.035127
0.000384	0.001751	0.035044
0.000384	0.001757	0.035036
0.000385	0.001757	0.035034
0.000385	0.001763	0.035030
0.000385	0.001763	0.035024
0.000387	0.001763	0.035023
0.000388	0.001763	0.035020
0.000389	0.001763	0.035018
0.000389	0.001766	0.035005
0.000389	0.001796	0.035005
0.000391	0.001796	0.034998
0.000391	0.001830	0.034998
0.000398	0.001830	0.034948
0.000398	0.001833	0.034947
0.000399	0.001833	0.034945
0.000399	0.001836	0.034944
0.000400	0.001836	0.034936
0.000400	0.001839	0.034928
0.000408	0.001839	0.034871
0.000410	0.001839	0.034866
0.000412	0.001839	0.034849
0.000415	0.001839	0.034837
0.000418	0.001839	0.034819
0.000419	0.001839	0.034807
0.000421	0.001839	0.034786
0.000422	0.001839	0.034786
0.000429	0.001839	0.034742
0.000430	0.001839	0.034742
0.000431	0.001839	0.034737
0.000431	0.001869	0.034734
0.000431	0.001872	0.034734
0.000433	0.001872	0.034725
0.000434	0.001872	0.034725
0.000437	0.001872	0.034714
0.000438	0.001872	0.034712
0.000447	0.001872	0.034646
0.000447	0.001875	0.034646
0.000448	0.001875	0.034638
0.000449	0.001875	0.034636
0.000450	0.001875	0.034632
0.000450	0.001881	0.034617
0.000452	0.001881	0.034613
0.000453	0.001881	0.034612
0.000454	0.001881	0.034608
0.000469	0.001881	0.034542
0.000470	0.001881	0.034536
0.000474	0.001881	0.034523
0.000475	0.001881	0.034515
0.000477	0.001881	0.034514
0.000480	0.001881	0.034497
0.000481	0.001881	0.034494
0.000482	0.001881	0.034489
0.000483	0.001881	0.034479
0.000484	0.001881	0.034479
0.000485	0.001881	0.034477
0.000489	0.001881	0.034462
0.000489	0.001884	0.034460
0.000490	0.001884	0.034458
0.000491	0.001884	0.034448
0.000492	0.001884	0.034440
0.000495	0.001884	0.034420
0.000496	0.001884	0.034417
0.000497	0.001884	0.034415
0.000498	0.001884	0.034413
0.000502	0.001884	0.034399
0.000503	0.001884	0.034398
0.000508	0.001884	0.034379
0.000508	0.001887	0.034376
0.000509	0.001887	0.034369
0.000532	0.001887	0.034252
0.000533	0.001887	0.034243
0.000533	0.001890	0.034241
0.000534	0.001890	0.034233
0.000535	0.001890	0.034227
0.000538	0.001890	0.034225
0.000540	0.001890	0.034203
0.000542	0.001890	0.034200
0.000544	0.001890	0.034197
0.000549	0.001890	0.034174
0.000550	0.001890	0.034174
0.000558	0.001890	0.034150
0.000558	0.001893	0.034148
0.000559	0.001893	0.034143
0.000559	0.001899	0.034141
0.000560	0.001899	0.034139
0.000560	0.001902	0.034139
0.000561	0.001902	0.034138
0.000562	0.001902	0.034129
