FPR	TPR	Threshold
0.000000	0.000000	inf
0.000000	0.000003	-2.988904
0.000000	0.038529	-14.645523
0.000016	0.038529	-14.651308
0.000016	0.038532	-14.651496
0.000024	0.038532	-14.657087
0.000024	0.038535	-14.657478
0.000030	0.038535	-14.662719
0.000030	0.038538	-14.663469
0.000035	0.038538	-14.669037
0.000035	0.038541	-14.669468
0.000040	0.038541	-14.675327
0.000040	0.038544	-14.675479
0.000044	0.038544	-14.681300
0.000044	0.038547	-14.681498
0.000047	0.038547	-14.687038
0.000047	0.038550	-14.687527
0.000051	0.038550	-14.693256
0.000051	0.038553	-14.693565
0.000054	0.038553	-14.699022
0.000054	0.038556	-14.699611
0.000057	0.038556	-14.704550
0.000057	0.038559	-14.705669
0.000060	0.038559	-14.710970
0.000060	0.038562	-14.711735
0.000063	0.038562	-14.717150
0.000063	0.038565	-14.717810
0.000065	0.038565	-14.722532
0.000065	0.038568	-14.723895
0.000068	0.038568	-14.729865
0.000068	0.038571	-14.729989
0.000070	0.038571	-14.735645
0.000070	0.038574	-14.736093
0.000073	0.038574	-14.741728
0.000073	0.038577	-14.742206
0.000075	0.038577	-14.747978
0.000075	0.038580	-14.748328
0.000077	0.038580	-14.754361
0.000077	0.038583	-14.754460
0.000079	0.038583	-14.758908
0.000079	0.038586	-14.760601
0.000081	0.038586	-14.765693
0.000081	0.038589	-14.766752
0.000084	0.038589	-14.772632
0.000084	0.038592	-14.772911
0.000085	0.038592	-14.778418
0.000085	0.038595	-14.779081
0.000087	0.038595	-14.783439
0.000087	0.038598	-14.785259
0.000089	0.038598	-14.790906
0.000089	0.038601	-14.791448
0.000091	0.038601	-14.797136
0.000091	0.038604	-14.797646
0.000093	0.038604	-14.802470
0.000093	0.038607	-14.803853
0.000095	0.038607	-14.808891
0.000095	0.038610	-14.810069
0.000096	0.038610	-14.814495
0.000096	0.038613	-14.816294
0.000098	0.038613	-14.821168
0.000098	0.038616	-14.822529
0.000100	0.038616	-14.826929
0.000100	0.038620	-14.828774
0.000102	0.038620	-14.833878
0.000102	0.038623	-14.835027
0.000104	0.038623	-14.839818
0.000104	0.038626	-14.841290
0.000105	0.038626	-14.846978
0.000105	0.038629	-14.847563
0.000107	0.038629	-14.853146
0.000107	0.038632	-14.853845
0.000108	0.038632	-14.857700
0.000108	0.038635	-14.860136
0.000110	0.038635	-14.865199
0.000110	0.038638	-14.866437
0.000112	0.038638	-14.871626
0.000112	0.038641	-14.872747
0.000113	0.038641	-14.876409
0.000113	0.038644	-14.879066
0.000115	0.038644	-14.884196
0.000115	0.038647	-14.885395
0.000116	0.038647	-14.890924
0.000116	0.038650	-14.891734
0.000118	0.038650	-14.895849
0.000118	0.038653	-14.898081
0.000119	0.038653	-14.904033
0.000119	0.038656	-14.904438
0.000120	0.038656	-14.909085
0.000120	0.038659	-14.910805
0.000122	0.038659	-14.916150
0.000122	0.038662	-14.917181
0.000123	0.038662	-14.921310
0.000123	0.038665	-14.923565
0.000125	0.038665	-14.929843
0.000125	0.038668	-14.929960
0.000126	0.038668	-14.935221
0.000126	0.038671	-14.936364
0.000128	0.038671	-14.942587
0.000128	0.038674	-14.942777
0.000129	0.038674	-14.947990
0.000129	0.038677	-14.949200
0.000130	0.038677	-14.953501
0.000130	0.038680	-14.955633
0.000132	0.038680	-14.959054
0.000132	0.038683	-14.962073
0.000133	0.038683	-14.968166
0.000133	0.038686	-14.968524
0.000135	0.038686	-14.973839
0.000135	0.038689	-14.974984
0.000136	0.038689	-14.979557
0.000136	0.038692	-14.981454
0.000137	0.038692	-14.987490
0.000137	0.038695	-14.987932
0.000139	0.038695	-14.993336
0.000139	0.038698	-14.994421
0.000140	0.038698	-14.999180
0.000140	0.038701	-15.000918
0.000141	0.038701	-15.005175
0.000141	0.038704	-15.007426
0.000142	0.038704	-15.011130
0.000142	0.038707	-15.013943
0.000143	0.038707	-15.017150
0.000143	0.038710	-15.020468
0.000144	0.038710	-15.023248
0.000144	0.038713	-15.027003
0.000146	0.038713	-15.033231
0.000146	0.038716	-15.033548
0.000147	0.038716	-15.039474
0.000147	0.038719	-15.040102
0.000149	0.038719	-15.045736
0.000149	0.038722	-15.046666
0.000150	0.038722	-15.052009
0.000150	0.038726	-15.053238
0.000151	0.038726	-15.058385
0.000151	0.038729	-15.059820
0.000152	0.038729	-15.064811
0.000152	0.038732	-15.066412
0.000153	0.038732	-15.071284
0.000153	0.038735	-15.073014
0.000154	0.038735	-15.077786
0.000154	0.038738	-15.079623
0.000156	0.038738	-15.084354
0.000156	0.038741	-15.086243
0.000157	0.038741	-15.090945
0.000157	0.038744	-15.092872
0.000158	0.038744	-15.097601
0.000158	0.038747	-15.099511
