FPR	TPR	Threshold
0.000000	0.000000	inf
0.000001	0.000000	-7.805294
0.004397	0.000000	-15.330961
0.004397	0.000030	-15.339278
0.004398	0.000030	-15.339383
0.004398	0.000058	-15.341680
0.004399	0.000058	-15.341725
0.004399	0.000097	-15.344981
0.004399	0.000097	-15.345115
0.004399	0.000130	-15.347668
0.004400	0.000130	-15.347864
0.004400	0.000191	-15.353297
0.004400	0.000191	-15.353422
0.004400	0.000230	-15.356588
0.004401	0.000230	-15.356635
0.004401	0.000327	-15.365679
0.004402	0.000327	-15.365743
0.004402	0.000333	-15.366309
0.004402	0.000333	-15.366414
0.004402	0.000363	-15.369143
0.004403	0.000363	-15.369235
0.004403	0.000427	-15.375412
0.004403	0.000427	-15.375526
0.004403	0.000442	-15.376584
0.004404	0.000442	-15.377136
0.004404	0.000515	-15.383924
0.004404	0.000515	-15.384019
0.004404	0.000557	-15.388160
0.004405	0.000557	-15.388311
0.004405	0.000582	-15.390782
0.004406	0.000582	-15.391330
0.004406	0.000639	-15.396612
0.004407	0.000639	-15.397015
0.004407	0.000694	-15.402347
0.004408	0.000694	-15.402905
0.004408	0.000733	-15.406764
0.004409	0.000733	-15.406917
0.004409	0.000839	-15.418402
0.004409	0.000839	-15.418475
0.004409	0.000845	-15.418614
0.004410	0.000845	-15.419244
0.004410	0.000887	-15.423323
0.004410	0.000887	-15.423505
0.004410	0.000924	-15.427857
0.004411	0.000924	-15.427865
0.004411	0.000963	-15.432398
0.004411	0.000963	-15.432465
0.004411	0.000975	-15.433463
0.004412	0.000975	-15.433637
0.004412	0.001042	-15.441224
0.004413	0.001042	-15.441241
0.004413	0.001057	-15.442623
0.004413	0.001057	-15.442934
0.004413	0.001093	-15.447306
0.004414	0.001093	-15.447888
0.004414	0.001139	-15.452609
0.004414	0.001139	-15.452678
0.004414	0.001166	-15.455970
0.004415	0.001166	-15.456371
0.004415	0.001209	-15.461074
0.004416	0.001209	-15.461524
0.004416	0.001218	-15.462273
0.004416	0.001218	-15.462703
0.004416	0.001266	-15.468451
0.004417	0.001266	-15.468923
0.004417	0.001330	-15.476137
0.004417	0.001330	-15.476332
0.004417	0.001354	-15.479038
0.004418	0.001354	-15.479197
0.004418	0.001387	-15.483401
0.004419	0.001387	-15.483681
0.004419	0.001421	-15.487973
0.004419	0.001421	-15.488339
0.004419	0.001436	-15.489940
0.004420	0.001436	-15.490413
0.004420	0.001460	-15.493096
0.004420	0.001460	-15.493219
0.004420	0.001508	-15.499515
0.004421	0.001508	-15.500295
0.004421	0.001542	-15.503915
0.004421	0.001542	-15.504315
0.004421	0.001551	-15.505049
0.004422	0.001551	-15.505184
0.004422	0.001596	-15.511037
0.004423	0.001596	-15.511294
0.004423	0.001660	-15.520011
0.004423	0.001660	-15.520360
0.004423	0.001675	-15.521698
0.004424	0.001675	-15.521886
0.004424	0.001696	-15.524896
0.004424	0.001696	-15.525290
0.004424	0.001748	-15.531773
0.004425	0.001748	-15.532318
0.004425	0.001775	-15.535917
0.004426	0.001775	-15.536034
0.004426	0.001787	-15.537144
0.004426	0.001787	-15.537670
0.004426	0.001826	-15.542866
0.004427	0.001826	-15.543222
0.004427	0.001878	-15.550108
0.004428	0.001878	-15.550738
0.004428	0.001926	-15.557028
0.004428	0.001926	-15.557172
0.004428	0.001957	-15.561532
0.004429	0.001957	-15.561967
0.004429	0.001963	-15.562631
0.004430	0.001963	-15.562739
0.004430	0.002017	-15.570462
0.004430	0.002017	-15.570757
0.004430	0.002063	-15.577653
0.004431	0.002063	-15.577920
0.004431	0.002072	-15.579167
0.004431	0.002072	-15.580101
0.004431	0.002090	-15.583743
0.004432	0.002090	-15.584242
0.004432	0.002102	-15.586207
0.004433	0.002102	-15.586387
0.004433	0.002138	-15.594053
0.004433	0.002138	-15.595050
0.004433	0.002151	-15.596656
0.004434	0.002151	-15.596938
0.004434	0.002184	-15.603987
0.004434	0.002184	-15.603989
0.004434	0.002193	-15.606340
0.004435	0.002193	-15.607335
0.004435	0.002208	-15.609642
0.004435	0.002208	-15.609967
0.004435	0.002248	-15.618602
0.004436	0.002248	-15.619130
0.004436	0.002272	-15.623610
0.004437	0.002272	-15.625180
0.004437	0.002296	-15.629577
0.004438	0.002296	-15.630087
0.004438	0.002329	-15.636866
0.004438	0.002329	-15.637238
0.004438	0.002338	-15.638813
0.004439	0.002338	-15.639700
0.004439	0.002347	-15.641141
0.004440	0.002347	-15.642069
0.004440	0.002381	-15.648681
0.004440	0.002381	-15.649368
0.004440	0.002396	-15.652274
0.004441	0.002396	-15.652455
0.004441	0.002417	-15.656746
0.004441	0.002417	-15.656991
0.004441	0.002447	-15.664524
0.004442	0.002447	-15.665333
0.004442	0.002453	-15.665837
0.004442	0.002453	-15.665912
0.004442	0.002493	-15.675006
0.004443	0.002493	-15.675088
0.004443	0.002508	-15.678194
0.004444	0.002508	-15.678696
0.004444	0.002517	-15.680484
0.004444	0.002517	-15.681475
0.004444	0.002550	-15.688354
0.004445	0.002550	-15.688610
0.004445	0.002578	-15.695328
0.004446	0.002578	-15.695720
0.004446	0.002593	-15.698502
0.004447	0.002593	-15.699577
