FPR	TPR	Threshold
0.000000	0.000000	inf
0.000001	0.000000	394197.659839
0.392469	0.000000	28138.807513
0.392469	0.000042	28131.573481
0.392470	0.000042	28131.547508
0.392470	0.000061	28130.418276
0.392470	0.000061	28130.241714
0.392470	0.000588	28123.428509
0.392471	0.000588	28123.383452
0.392471	0.000651	28122.916580
0.392472	0.000651	28122.899640
0.392472	0.000766	28121.793886
0.392472	0.000766	28121.785747
0.392472	0.000775	28121.694390
0.392473	0.000775	28121.677548
0.392473	0.001305	28116.449706
0.392473	0.001305	28116.429772
0.392473	0.001511	28114.337360
0.392474	0.001511	28114.253436
0.392474	0.001554	28113.675224
0.392475	0.001554	28113.667670
0.392475	0.001599	28113.127681
0.392475	0.001599	28113.115012
0.392475	0.001645	28112.584879
0.392476	0.001645	28112.566527
0.392476	0.001808	28110.527790
0.392476	0.001808	28110.512684
0.392476	0.002126	28106.027071
0.392477	0.002126	28106.024599
0.392477	0.002154	28105.678181
0.392477	0.002154	28105.608895
0.392477	0.002166	28105.423091
0.392478	0.002166	28105.379740
0.392478	0.002229	28104.589306
0.392479	0.002229	28104.554109
0.392479	0.002508	28099.945496
0.392480	0.002508	28099.928285
0.392480	0.002693	28096.968397
0.392480	0.002693	28096.966017
0.392480	0.002756	28096.011725
0.392481	0.002756	28095.994836
0.392481	0.003193	28089.323288
0.392482	0.003193	28089.307958
0.392482	0.003250	28088.333883
0.392482	0.003250	28088.324802
0.392482	0.003302	28087.438325
0.392483	0.003302	28087.437194
0.392483	0.003447	28084.910253
0.392483	0.003447	28084.853093
0.392483	0.003817	28079.716282
0.392484	0.003817	28079.685249
0.392484	0.003886	28078.890024
0.392485	0.003886	28078.881184
0.392485	0.004201	28075.812188
0.392485	0.004201	28075.743450
0.392485	0.004577	28072.717287
0.392485	0.004583	28072.711199
0.392485	0.004586	28072.701628
0.392485	0.004604	28072.665089
0.392485	0.004607	28072.648447
0.392485	0.004619	28072.636619
0.392485	0.004625	28072.621679
0.392485	0.004643	28072.595922
0.392485	0.004649	28072.572878
0.392485	0.004680	28072.520392
0.392485	0.004686	28072.509772
0.392485	0.004704	28072.480645
0.392485	0.004710	28072.462520
0.392485	0.004740	28072.404166
0.392485	0.004746	28072.390362
0.392485	0.004771	28072.342314
0.392485	0.004774	28072.334915
0.392485	0.004786	28072.319258
0.392485	0.004789	28072.314999
0.392485	0.004801	28072.287939
0.392485	0.004807	28072.280510
0.392485	0.004813	28072.273148
0.392485	0.004816	28072.264791
0.392485	0.004828	28072.249197
0.392485	0.004831	28072.233148
0.392485	0.004862	28072.171714
0.392485	0.004865	28072.162492
0.392485	0.004883	28072.132972
0.392485	0.004886	28072.115635
0.392485	0.004904	28072.088707
0.392485	0.004907	28072.082256
0.392485	0.004919	28072.055488
0.392485	0.004922	28072.044474
0.392485	0.004928	28072.042596
0.392485	0.004934	28072.027494
0.392485	0.004977	28071.939263
0.392485	0.004983	28071.918012
0.392485	0.004989	28071.915591
